name,business_type,state_registered,street_registered,city_registered,zip5_registered,state_physical,street_physical,city_physical,zip5_physical,filing_number,agent_name,agent_title,raw_physical_address,raw_registered_address
"THE LEHIGH VALLEY CRUISERS, INC.",NONPROFIT,NAN,,,,PA,3208 SOUTH 2ND ST,WHITEHALL,18052-,3329532,,,3208 SOUTH 2ND ST WHITEHALL PA 18052- LEHIGH,
RED CEDAR PUBLICITY & MARKETING,CORPORATION,NAN,,,,PA,7400 BARCLAY RD,CHELTENHAM,19012-,3329533,RED CEDAR PUBLICITY AND MARKETING LLC,OWNER,7400 BARCLAY RD CHELTENHAM PA 19012- MONTGOMERY,
CROWN TELECOM INCORPORATED,CORPORATION,NAN,PO BOX 262,FLEETVILLE,18504-,PA,1615 DIVISION ST,SCRANTON,18504-,3329534,MATTHEW MCLAGHLIN,PRESIDENT,1615 DIVISION ST SCRANTON PA 18504- LACKAWANNA,PO BOX 262 FLEETVILLE PA 18420-0262
INTERNATIONAL INSURANCE GROUP LTD.,CORPORATION,MA,125 BROAD STREET,BOSTON,,,,,,3329535,MICHAEL NEVILLE,PRESIDENT,%CORPORATION SERVICE COMPANY DAUPHIN,125 BROAD STREET BOSTON MA 02110
TRANSTRADEINTL INC,CORPORATION,NAN,221 SNOWBERRY WAY,WEST CHESTER,19380-,PA,221 SNOWBERRY WAY,WEST CHESTER,19380-,3329537,SUNDER K MUTHEVI,PRESIDENT,221 SNOWBERRY WAY WEST CHESTER PA 19380- CHESTER,221 SNOWBERRY WAY WEST CHESTER PA 19380-15
"WENDI D. KRATZER AGENCY, INC.",CORPORATION,PA,2354 OLD POST RD STE 5,COPLAY,18037-,PA,2354 OLD POST RD STE 5,COPLAY,18037-,3329539,WENDI KRATZER,PRESIDENT,2354 OLD POST RD STE 5 COPLAY PA 18037- LEHIGH,2354 OLD POST RD STE 5 COPLAY PA 18037-39
"DR. KURUCHI SRINIVASAN MD, PC",CORPORATION,NAN,1227 SEROTA PL,PHILADELPHIA,19115-,PA,1227 SEROTA PLACE,PHILA,19115-,3329541,KURUCHI K SRINIVASAN,TREASURER,1227 SEROTA PLACE PHILA PA 19115- PHILADELPHIA,1227 SEROTA PL PHILADELPHIA PA 19115-2526
PITTSBURGH NUCLEAR CARDIOLOGY GROUP,NONPROFIT,PA,,,,PA,2701 CONNECTICUT AVE,PITTSBURGH,15216-,3329542,,,2701 CONNECTICUT AVE PITTSBURGH PA 15216- ALLEGHENY,
MASCHIO'S FOOD SERVICES INC.,CORPORATION,NJ,525 MAIN ST,CHESTER,18321,PA,160 JOJO ROAD,BARTONSVILLE,18321,3329543,KENNETH TORCHIA,VICEPRESIDENT,160 JOJO ROAD BARTONSVILLE PA 18321 MONROE,525 MAIN ST CHESTER NJ 07930-2627
AMERICAN JANITORIAL CLEANING INC.,CORPORATION,PA,935 GREENWICH ST,READING,19604-,PA,935 GREENWICH ST,READING,19604-,3329544,LUIS LUGO,PRESIDENT,935 GREENWICH ST READING PA 19604- BERKS,935 GREENWICH ST READING PA 19604-06
