Facility,Type,Chargecode_DRG_CPT,Description,CPT,_1_1_21_Fee,Aetna_W,Aetna_PPO,Anthem_Blue_Priority,Anthem_Blue_Preferred,Anthem_PPO,Aurora_Caregiver,Cigna_GPPO,Cigna_PPO,Exchange_-Common_Ground,Exchange_-Molina,Health_EOS_Plus,Health_EOS_PPO,HPS,Humana_WVN,Humana_HPN_HMO,Humana_PPO,Trilogy,UHC_HMO,UHC_PPO,WEA_State_and_Trust,WEA_Broad,WPS_Arise,WPS_Statewide,SELF_PAY,MIN,MAX
"SOUTH SHORE","CHARGE","10000001","ROOM CHARGE MED SURG, REHAB","","3,070.00","1,563.93","2,609.50","1,687.36","2,099.94","2,609.50","1,835.78","2,146.94","2,609.50","1,768.54","1,594.52","1,872.70","2,456.00","1,838.20","1,728.36","1,795.61","2,609.50","1,688.50","1,956.16","2,609.50","1,673.96","1,901.28","1,698.29","1,901.85","1,688.50","1,563.93","2,609.50"
"SOUTH SHORE","CHARGE","10000002","ROOM CHARGE MED SURG","","3,070.00","1,593.89","2,609.50","1,724.76","2,136.85","2,609.50","1,866.38","2,183.59","2,609.50","1,792.44","1,620.35","1,872.70","2,456.00","1,862.69","1,759.88","1,827.12","2,609.50","1,688.50","2,009.28","2,609.50","1,689.99","1,917.02","1,754.30","1,958.95","1,688.50","1,593.89","2,609.50"
"SOUTH SHORE","CHARGE","10000008","ROOM CHARGE ICU OR CCU","","6,130.00","2,864.73","5,210.50","3,047.17","3,875.16","5,210.50","3,402.06","3,971.25","5,210.50","3,325.51","2,961.39","3,739.30","4,904.00","3,459.43","3,179.68","3,314.06","5,210.50","3,371.50","3,448.48","5,210.50","3,204.41","3,660.74","2,908.70","3,305.78","3,371.50","2,864.73","5,210.50"
"SOUTH SHORE","CHARGE","10000019","BREAST ASPIRATE CYST EA ADDL","19001","335.00","129.46","284.75","125.83","165.22","284.75","132.58","246.31","284.75","130.58","129.30","204.35","268.00","160.32","144.51","151.03","284.75","184.25","153.71","284.75","149.61","170.41","135.63","155.56","184.25","125.83","284.75"
"SOUTH SHORE","CHARGE","10000033","ARTHROGRAM SHOULDER INJECT","23350","760.00","145.49","646.00","152.77","215.68","646.00","95.70","456.00","646.00","136.10","175.56","463.60","608.00","258.57","215.44","226.47","646.00","418.00","160.12","646.00","193.94","251.92","216.66","251.71","418.00","95.70","646.00"
"SOUTH SHORE","CHARGE","10000034","ARTHROGRAM ELBOW INJECT","24220","760.00","151.31","646.00","159.36","225.01","646.00","99.81","456.00","646.00","141.89","182.79","463.60","608.00","269.74","224.42","235.94","646.00","418.00","167.12","646.00","201.87","262.45","208.41","243.23","418.00","99.81","646.00"
"SOUTH SHORE","CHARGE","10000035","ARTHROGRAM WRIST INJECT","25246","760.00","346.71","646.00","353.64","466.72","646.00","357.89","499.93","646.00","365.57","367.38","463.60","608.00","427.43","460.52","475.08","646.00","418.00","464.99","646.00","365.48","428.14","389.49","446.54","418.00","346.71","646.00"
"SOUTH SHORE","CHARGE","10000036","ARTHROGRAM HIP INJECT","27093","760.00","145.98","646.00","153.05","215.32","646.00","95.57","456.00","646.00","136.34","173.38","463.60","608.00","259.37","212.24","223.08","646.00","418.00","158.11","646.00","193.31","250.84","212.23","246.69","418.00","95.57","646.00"
"SOUTH SHORE","CHARGE","10000037","ARTHROGRAM KNEE INJECT","27369","880.00","99.49","748.00","103.06","142.27","748.00","66.15","528.00","748.00","93.75","101.85","536.80","704.00","179.40","127.54","133.88","748.00","484.00","108.42","748.00","122.17","158.04","397.39","445.88","484.00","66.15","748.00"
"SOUTH SHORE","CHARGE","10000038","ARTHROGRAM ANKLE INJECT","27648","760.00","346.71","646.00","353.64","466.72","646.00","357.89","499.93","646.00","365.57","367.38","463.60","608.00","427.43","460.52","475.08","646.00","418.00","464.99","646.00","365.48","428.14","389.49","446.54","418.00","346.71","646.00"
"SOUTH SHORE","CHARGE","10000075","HANDLING FEE","99001","20.00","9.02","17.00","9.30","11.82","17.00","9.66","11.41","17.00","9.81","9.41","12.20","16.00","11.07","10.02","10.41","17.00","11.00","10.56","17.00","9.41","10.78","10.21","11.64","11.00","9.02","17.00"
"SOUTH SHORE","CHARGE","10000080","SELECTIVE  CATH 1ST ORDER THORACIC","36215","1,820.00","703.36","1,547.00","683.61","897.61","1,547.00","720.27","1,338.14","1,547.00","709.41","702.45","1,110.20","1,456.00","871.00","785.09","820.53","1,547.00","1,001.00","835.07","1,547.00","812.78","925.79","736.86","845.12","1,001.00","683.61","1,547.00"
"SOUTH SHORE","CHARGE","10000081","SELECTIVE CATH 2ND ORDER THORACIC","36216","1,820.00","703.36","1,547.00","683.61","897.61","1,547.00","720.27","1,338.14","1,547.00","709.41","702.45","1,110.20","1,456.00","871.00","785.09","820.53","1,547.00","1,001.00","835.07","1,547.00","812.78","925.79","736.86","845.12","1,001.00","683.61","1,547.00"
"SOUTH SHORE","CHARGE","10000082","SELECTIVE  CATH 3RD ORDER THORACIC","36217","1,820.00","703.36","1,547.00","683.61","897.61","1,547.00","720.27","1,338.14","1,547.00","709.41","702.45","1,110.20","1,456.00","871.00","785.09","820.53","1,547.00","1,001.00","835.07","1,547.00","812.78","925.79","736.86","845.12","1,001.00","683.61","1,547.00"
"SOUTH SHORE","CHARGE","10000084","SELECTIVE  CATH 2&3 THORARIC ADDL","36218","910.00","351.68","773.50","341.81","448.80","773.50","360.13","669.07","773.50","354.70","351.23","555.10","728.00","435.50","392.54","410.26","773.50","500.50","417.54","773.50","406.39","462.90","368.43","422.56","500.50","341.81","773.50"
"SOUTH SHORE","CHARGE","10000085","SELECTIVE CATH 1ST ORDER ABD/PELVIC","36245","2,030.00","949.70","1,725.50","870.97","1,169.78","1,725.50","1,119.16","1,217.93","1,725.50","1,206.76","1,009.16","1,238.30","1,624.00","1,255.50","1,087.56","1,139.96","1,725.50","1,116.50","993.69","1,725.50","1,222.10","1,409.67","1,015.00","1,015.00","1,116.50","870.97","1,725.50"
"SOUTH SHORE","CHARGE","10000086","SELECTIVE  CATH 2ND ABD/PELVIC/EXTREM","36246","2,030.00","784.51","1,725.50","762.49","1,001.18","1,725.50","803.38","1,492.54","1,725.50","791.26","783.50","1,238.30","1,624.00","971.50","875.67","915.20","1,725.50","1,116.50","931.43","1,725.50","906.56","1,032.61","821.88","942.63","1,116.50","762.49","1,725.50"
"SOUTH SHORE","CHARGE","10000087","SELECTIVE  CATH 3RD ABD/PELVIC/EXTREM","36247","2,030.00","949.70","1,725.50","870.97","1,169.78","1,725.50","1,119.16","1,217.93","1,725.50","1,206.76","1,009.16","1,238.30","1,624.00","1,255.50","1,087.56","1,139.96","1,725.50","1,116.50","993.69","1,725.50","1,222.10","1,409.67","1,015.00","1,015.00","1,116.50","870.97","1,725.50"
"SOUTH SHORE","CHARGE","10000088","SELECTIVE  CATH 2&3 ABD/PELVIC/EXTREM/ADDL","36248","1,010.00","390.32","858.50","379.37","498.12","858.50","399.71","742.60","858.50","393.68","389.82","616.10","808.00","483.36","435.68","455.35","858.50","555.50","463.42","858.50","451.05","513.76","408.91","468.99","555.50","379.37","858.50"
"SOUTH SHORE","CHARGE","10000090","SCLEROTHERAPY MULTIPLE VEINS","36471","405.00","156.52","344.25","152.12","199.74","344.25","160.28","297.77","344.25","157.86","156.31","247.05","324.00","193.82","174.70","182.59","344.25","222.75","185.83","344.25","180.87","206.01","163.97","188.06","222.75","152.12","344.25"
"SOUTH SHORE","CHARGE","10000091","ABLATION VARICOSE VEIN LASER 1ST","36478","6,340.00","2,450.16","5,389.00","2,381.37","3,126.83","5,389.00","2,509.07","4,661.44","5,389.00","2,471.23","2,447.00","3,867.40","5,072.00","3,034.15","2,734.86","2,858.32","5,389.00","3,487.00","2,908.99","5,389.00","2,831.34","3,225.01","2,566.85","2,943.98","3,487.00","2,381.37","5,389.00"
