Institution,Institution Type,County,Fiscal Year,Date,Corrections Population,Address + Lat/Long
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2019-2020,09/30/2019,190,"N/A
N/A, N/A N/A"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2019-2020,09/30/2019,549,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
In Federal Prisons,Federal Prisons,N/A,FY 2019-2020,09/30/2019,5,"N/A
N/A, N/A N/A"
Chester (CHS),State Correctional Institution,Delaware,FY 2019-2020,09/30/2019,1121,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2019-2020,09/30/2019,70,"N/A
N/A, N/A N/A"
In County Jails,County Jails,N/A,FY 2019-2020,09/30/2019,172,"N/A
N/A, N/A N/A"
Benner Township (BEN),State Correctional Institution,Centre,FY 2019-2020,09/30/2019,1992,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Mercer (MER),State Correctional Institution,Mercer,FY 2019-2020,09/30/2019,1400,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2019-2020,09/30/2019,2031,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2019-2020,09/30/2019,1972,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2019-2020,09/30/2019,1057,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Phoenix (PHX),State Correctional Institution,Montgomery,FY 2019-2020,09/30/2019,2853,"1200 Mokychic Drive
Collegeville, PA 19426
(40.23401289, -75.42497814)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2019-2020,09/30/2019,2332,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2019-2020,09/30/2019,966,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2019-2020,09/30/2019,185,"N/A
N/A, N/A N/A"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2019-2020,09/30/2019,2450,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2019-2020,09/30/2019,2139,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2019-2020,09/30/2019,91,"N/A
N/A, N/A N/A"
Waymart (WAM),State Correctional Institution,Wayne,FY 2019-2020,09/30/2019,1461,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Forest (FRS),State Correctional Institution,Forest,FY 2019-2020,09/30/2019,2133,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Greene (GRN),State Correctional Institution,Greene,FY 2019-2020,09/30/2019,1717,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2019-2020,09/30/2019,142,"N/A
N/A, N/A N/A"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2019-2020,09/30/2019,3247,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Albion (ALB),State Correctional Institution,Erie,FY 2019-2020,09/30/2019,2210,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2019-2020,09/30/2019,1467,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2019-2020,09/30/2019,184,"N/A
N/A, N/A N/A"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2019-2020,09/30/2019,1206,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2019-2020,09/30/2019,2173,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
