"",,,Other,Federal,,Pre-,Pre-,Total
"",TDOC,Local,Conv.,&,Conv.,trial,trial,Jail
FACILITY,Backup,Felons,Felons***,Others,Misd.,Felony,Misd.,Pop.
Anderson,58,12,3,0,39,115,108,335
Bedford,10,11,0,2,63,17,116,219
Bedford Workhouse (closed),0,0,0,0,0,0,0,0
Benton,9,1,1,1,4,15,28,59
Bledsoe,64,0,2,0,15,0,15,96
Blount,49,11,0,119,44,138,93,454
Bradley,25,17,11,52,58,144,50,357
Campbell,98,11,7,0,21,57,51,245
Cannon,5,9,0,0,6,6,14,40
Carroll,21,28,0,0,20,28,13,110
Carter,8,8,2,47,99,86,29,279
Cheatham,8,1,0,4,12,35,24,84
Chester,23,0,3,0,9,19,18,72
Claiborne,43,13,0,0,36,52,35,179
Clay,2,1,1,0,2,0,2,8
Cocke Jail,4,11,1,0,3,21,8,48
Cocke Annex,10,8,0,1,6,35,34,94
Coffee Annex (not in use),0,0,0,0,0,0,0,0
Coffee,37,0,0,0,24,28,242,331
Crockett,1,0,8,0,8,29,3,49
Cumberland,27,2,0,0,22,61,24,136
Davidson CJC (demolished),0,0,0,0,0,0,0,0
Davidson DDC,2,35,41,58,35,391,39,601
Davidson HDC (closed),0,0,0,0,0,0,0,0
Davidson CDM,2,59,73,1,72,315,21,543
Davidson CDF,3,30,16,3,12,80,18,162
Davidson MCC,3,232,6,12,8,21,7,289
Davidson ORC (closed),0,0,0,0,0,0,,0
Davidson CCA (MDF),0,0,0,0,0,0,0,0
Decatur,6,10,0,0,13,24,7,60
DeKalb,10,0,0,0,22,28,7,67
Dickson,27,2,0,0,87,141,33,290
Dyer,35,11,0,0,16,75,31,168
Dyer Annex,27,7,0,0,7,0,0,41
Fayette,6,5,2,7,16,22,7,65
Fentress,27,7,0,5,42,29,15,125
Franklin,11,29,0,0,34,48,28,150
Gibson,71,6,0,0,50,72,61,260
Giles,5,19,0,0,16,34,8,82
Grainger Co. Det. Center,5,10,13,6,6,23,22,85
Greene Det. Center,17,4,0,11,37,98,40,207
Greene WH,8,1,0,0,89,28,9,135
Grundy,12,5,0,0,8,28,10,63
Hamblen,44,4,0,0,88,64,60,260
Hamilton Jail (closed 6/1/21),0,0,0,0,0,0,0,0
Hamilton - Silverdale CCA,1,0,66,169,29,505,337,1107
Hancock,35,12,0,0,14,7,19,87
Hardeman,10,7,5,0,7,39,10,78
Hardin,36,5,0,2,13,55,30,141
Hawkins,17,4,0,0,85,86,42,234
Haywood,0,16,0,2,10,41,9,78
Henderson,53,11,12,4,31,74,19,204
Henry,27,36,0,0,29,70,34,196
Hickman,5,0,0,0,10,57,0,72
Houston,6,0,9,0,2,11,7,35
Humphreys,8,5,1,0,13,50,20,97
Jackson,10,0,20,2,2,13,48,95
Jefferson,17,34,0,1,50,34,58,194
Jefferson WH,11,7,0,0,5,0,0,23
Johnson,3,5,3,0,12,22,20,65
Johnson City (F),51,0,0,0,0,0,0,51
Knox - KCJ,13,6,1,14,8,139,8,189
Knox - RDWDF,17,16,2,63,30,390,165,683
Knox - KCWRC,2,6,0,3,8,45,11,75
Lake,11,0,0,1,3,12,2,29
