id,name,agency_type,state_iso,city,zip,county_fips,lat,lng,date_insert,data_policy,country,homepage_url
000ae6cb70584e3b9296cac7173e0752,Laconia Police Department,4,NH,,,33001.0,43.52666091918945,-71.47505187988281,2021-04-16 15:17:31,,US,"https://www.laconianh.gov/229/Police"
000bb596839440dc93fd474fd16e1d98,Marion Police Department,4,MS,,,,,,2021-04-16 15:17:31,,US,"http://marionpd.org/"
000dabdea6dc4cd8824db0228c644a05,McLeansboro Police Department,4,IL,,,,,,2021-04-16 15:17:31,,US,"https://mcleansboro.us/departments/mcleansboro-police-department/"
0014a5b0b0334cd9b83c0bfb5d943a2b,Wilder Police Department,4,ID,,,,,,2021-04-16 15:17:31,,US,"https://cityofwilder.org/police"
0015c82192854da6b2182ef62fe98403,Stevens County Sheriff's Office,3,MN,,,,,,2021-04-16 15:17:31,,US,"https://stevenscountywa.gov/sheriff"
0017c8b8d8ca4ce7b6b07c91a26df7f2,Colfax County Sheriff's Office,3,NM,,,,,,2021-04-16 15:17:31,,US,"http://www.co.colfax.nm.us/government/sheriff_s_department.php"
0018c35d03f3469ba5f3e1f4510205be,Pensacola State College Department of Public Safety,2,FL,,,,,,2021-04-16 15:17:31,,US,"https://www.pensacolastate.edu/publicsafety/"
00195bbbaffc4056a9b3e446c99d581e,United States Diplomatic Security Service,2,MA,,,,,,2021-04-16 15:17:31,,US,"https://www.state.gov/bureaus-offices/under-secretary-for-management/bureau-of-diplomatic-security/"
0023b05befb74da2b91749402d8517a5,Lorain County Sheriff's Office ,3,OH,,,,,,2021-04-16 15:17:31,,US,"https://loraincountysheriff.com/"
0027430ae16c403f97250db653dbcaad,Hancock County Sheriff's Office,3,IL,,,,,,2021-04-16 15:17:31,,US,"http://www.hancockso.com/"
002ee6a520d64f56996c71fef67bd055,Odessa College Police Department,5,TX,,,48135.0,31.86446952819824,-102.38091278076172,2021-04-16 15:17:31,,US,"https://www.odessa.edu/future-students/campus-life/safety/index.html"
0034a1ab788c4874a808d6f7e9f455eb,Greenwood County Sheriff's Office,3,KS,,,20073.0,37.82160949707031,-96.29470825195312,2021-04-16 15:17:31,,US,"https://www.greenwoodcounty-sc.gov/government/departments-s-z/sheriff-s-office"
0038235424b94df39b013e429c3fd7ec,Long Beach Unified School District School Safety Department,5,CA,,,,,,2021-04-16 15:17:31,,US,"https://www.lbschools.net/Departments/School_Safety/"
003b324a0ccb419b882614c9ed31be39,Washington County Probation Department,3,NY,,,,,,2021-04-16 15:17:31,,US,"https://www.co.washington.or.us/CommunityCorrections/parole-and-probation-staff.cfm"
003f81b6cee1431b99b21e77761e7e97,Antrim Police Department,4,NH,,,33011.0,43.02996063232422,-71.93846130371094,2021-04-16 15:17:31,,US,"https://www.antrimnh.org/police-department"
0040fe2c4a5c43dda81fc8a7c4f4b889,Howard County Police Department,3,MD,,,,,,2021-04-16 15:17:31,,US,"https://www.howardcountymd.gov/Departments/Police/MM-Contact-Us"
004602e8129444a98091ed9b7a94559f,Hill County Sheriff's Office,3,MT,,,,,,2021-04-16 15:17:31,,US,"https://www.linkedin.com/in/lee-cone-a96185a2"
00496acb1e014049a8eb9cc66aae33ed,Dunmore Police Department,4,PA,,,42069.0,41.41765975952149,-75.63530731201172,2021-04-16 15:17:31,,US,"https://dunmorepa.gov/police-department/"
0049a96acc634555956ea9aff0f056bb,Clarks Hill Police Department,4,IN,,,,,,2021-04-16 15:17:31,,US,""
004d320c18024858b763c2df0dd7a032,Winkler County Sheriff's Office,3,TX,,,48495.0,31.84164047241211,-103.08931732177734,2021-04-16 15:17:31,,US,"http://www.co.winkler.tx.us/page/winkler.Sheriff"
004dc9f2f9244d3a8b35f4424082e5f9,Baldwin Park Unified School District Police Department,5,CA,,,,,,2021-04-16 15:17:31,,US,"https://www.bpusd.net/apps/pages/index.jsp?uREC_ID=887796&type=d&pREC_ID=1243211"
004df49452e44cde8ca6d173887ab5c3,Orleans County Sheriff's Office,3,VT,,,50019.0,44.94644927978516,-72.17842102050781,2021-04-16 15:17:31,,US,"https://orleanscountyny.gov/departments/court_and_law/sheriff/index.php"
0058356f04d1480889fe2ab6de5c806f,Felton Police Department,4,DE,,,10001.0,39.010528564453125,-75.57398986816406,2021-04-16 15:17:31,,US,"https://felton.delaware.gov/police/"
