name,restaurant_name,identifier,calories,price_usd
BAVARIAN PRETZEL,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,9.00
AVOCADO ROLLS,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,9.00
BREWHOUSE WINGS,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,10.00
SMOKEHOUSE NACHOS,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,12.00
CHEESE CURDS,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,11.00
FOUR CHEESE SPINACH & ARTICHOKE DIP,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,12.00
PEACH & HEIRLOOM BRUSCHETTA,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,14.00
YA BASIC!!!,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,12.00
LOS TACOS,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,11.00
THE COBB,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,11.00
SOUP OF THE DAY,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,4.00
SUMMER DELIGHT,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,10.00
THE BEET GOES ON,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,10.00
GREEN CHILI,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,5.00
AABC CAPRESE FB,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,13.00
BAJA CHICKEN FB,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,14.00
BAY OF PIGS FB,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,13.00
RED HOT CHICKEN FB,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,14.00
NASHVILLE HOT CHICKEN,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,15.00
CARIBBEAN PARADISE,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,15.00
FUGGLES REUBEN,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,14.00
BIG A$$ BLT,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,14.00
PROUD AMERICAN,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,14.00
INFERNO,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,16.00
CHEESESTEAK,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,17.00
JAMMIN!!!,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,18.00
JUST ROLL WITH IT,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,18.00
FISH & CHIPS,ARROWHEAD ALES BREWING COMPANY,"NEW LENOX, IL",,15.00
