name,restaurant_name,identifier,calories,price_usd
**BYO BURRITO BOWL**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,8.00
**SALAD BOWL**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,8.00
TACO SHELL SALAD,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,9.00
**BYO BURRITO**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,8.00
**BYO SUPER LOADED BURRITO (CHOOSE 3 MEATS)**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,12.00
**BYO NACHOS**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,9.00
**NACHO FRIES**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,9.00
**BYO TACOS (3)**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,8.00
**BYO TACO (1)**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,3.00
**BAJA QUESADILLA**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,9.00
**CALIFORNIA BAJA BURRITO (FRENCH FRIES INSIDE BURRITO)**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,9.00
**MEXICAN DINNER COMBO (COMES WITH TORTILLAS)**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,11.00
CHIMICHANGE (FRIED BURRITO),"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,9.00
**CHEESE QUESADILLA**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,7.00
**CHEESE STEAK**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,8.00
CHICKEN & CHEESE SUB,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,8.00
4PC CHICKEN FINGERS & FRIES,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,10.00
4PC BUFFALO FINGERS & FRIES,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,10.00
**SOUR CREAM**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,1.00
**SALSA**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,1.00
**NACHO CHEESE***,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,1.00
**SM. GUACAMOLE**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,1.00
**LG. GUACAMOLE**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,5.00
**RICE & BEANS**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,4.00
**STEAK / SHRIMP**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,6.00
**PORK / GROUND BEEF / CHICKEN**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,5.00
**CHIPS**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,2.00
**CHIPS & SALSA**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,2.50
**CHIPS & NACHO CHEESE**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,4.00
**CHIPS & GUACAMOLE**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,4.00
"**CHIPS, SALSA & GUAC**","BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,5.00
**LOADED CHIPS**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,8.00
TEST ORDER,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,1.00
**OREO PIE**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,4.00
**TRES LECHES**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,4.00
**TIRAMISU**,"BAJA'S - S. ATTLEBORO, MA BAJA'S GRILL EXPRESS","SOUTH ATTLEBORO, MA",,4.00
