name,restaurant_name,identifier,calories,price_usd
KANOM JEEB,KALAYA THAI MARKET,"PHILADELPHIA, PA",,12.00
GRILLED SWEET SAUSAGE W/ STICKY RICE,KALAYA THAI MARKET,"PHILADELPHIA, PA",,12.00
SOM TUM,KALAYA THAI MARKET,"PHILADELPHIA, PA",,12.00
PORK JERKY SET,KALAYA THAI MARKET,"PHILADELPHIA, PA",,12.00
CHU CHEE SALMON,KALAYA THAI MARKET,"PHILADELPHIA, PA",,18.00
CHICKEN CURRY,KALAYA THAI MARKET,"PHILADELPHIA, PA",,18.00
KAMOO,KALAYA THAI MARKET,"PHILADELPHIA, PA",,18.50
LAB HED,KALAYA THAI MARKET,"PHILADELPHIA, PA",,18.00
JASMINE RICE,KALAYA THAI MARKET,"PHILADELPHIA, PA",,3.00
STICKY RICE,KALAYA THAI MARKET,"PHILADELPHIA, PA",,3.00
COCONUT RICE,KALAYA THAI MARKET,"PHILADELPHIA, PA",,5.00
YUM KUN CHIANG SPICY SALAD WITH PORK SAUSAGE,KALAYA THAI MARKET,"PHILADELPHIA, PA",,16.00
CHICKEN CURRY PIE,KALAYA THAI MARKET,"PHILADELPHIA, PA",,3.50
CHICKEN CURRY PIE (3 FOR 10),KALAYA THAI MARKET,"PHILADELPHIA, PA",,10.00
SWEET PORK PIE (MOO WAN),KALAYA THAI MARKET,"PHILADELPHIA, PA",,3.50
SWEET PORK PIE (MOO WAN) 3 FOR 10,KALAYA THAI MARKET,"PHILADELPHIA, PA",,10.00
THAI ICED TEA,KALAYA THAI MARKET,"PHILADELPHIA, PA",,4.75
THAI ICED COFFEE,KALAYA THAI MARKET,"PHILADELPHIA, PA",,4.75
THAI GREEN TEA,KALAYA THAI MARKET,"PHILADELPHIA, PA",,4.75
ICED COCONUT JUICE,KALAYA THAI MARKET,"PHILADELPHIA, PA",,4.50
THAI LYCHEE JUICE,KALAYA THAI MARKET,"PHILADELPHIA, PA",,3.50
FANTA RED,KALAYA THAI MARKET,"PHILADELPHIA, PA",,2.50
FANTA GREEN,KALAYA THAI MARKET,"PHILADELPHIA, PA",,2.50
VITA MILK,KALAYA THAI MARKET,"PHILADELPHIA, PA",,2.90
KARABOW DANG,KALAYA THAI MARKET,"PHILADELPHIA, PA",,3.25
NOM YEN - RED,KALAYA THAI MARKET,"PHILADELPHIA, PA",,4.75
NOM YEM - GREEN,KALAYA THAI MARKET,"PHILADELPHIA, PA",,4.75
THAI MANGO  JUICE,KALAYA THAI MARKET,"PHILADELPHIA, PA",,3.50
DURIAN ICE CREAM- PINT,KALAYA THAI MARKET,"PHILADELPHIA, PA",,15.00
MANGO STICKY RICE,KALAYA THAI MARKET,"PHILADELPHIA, PA",,13.00
THAI CHILI VANILLA ICE CREAM,KALAYA THAI MARKET,"PHILADELPHIA, PA",,6.00
2FOR10 ICE CREAM,KALAYA THAI MARKET,"PHILADELPHIA, PA",,10.00
GREEN CURRY SAUCE,KALAYA THAI MARKET,"PHILADELPHIA, PA",,15.00
RED CURRY SAUCE,KALAYA THAI MARKET,"PHILADELPHIA, PA",,15.00
TOM YUM BROTH,KALAYA THAI MARKET,"PHILADELPHIA, PA",,15.00
PANANG CURRY SAUCE,KALAYA THAI MARKET,"PHILADELPHIA, PA",,18.00
PONG MOO YANG,KALAYA THAI MARKET,"PHILADELPHIA, PA",,15.00
KAREE POWDER,KALAYA THAI MARKET,"PHILADELPHIA, PA",,15.00
