name,restaurant_name,identifier,calories,price_usd
TIMATIM FITFIT,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,6.00
TIMATIM SALAD,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,5.00
AZIFA,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,6.00
SAMBOSA - BEEF,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,4.00
SAMBOSA - LENTIL,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,4.00
AVOCADO SALAD,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,7.00
TEFF INJERA,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,2.00
CATERING LENTIL SAMBOSA,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,1.50
MESKEREM COMBINATION,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,14.00
VEGETARIAN COMBINATION,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,14.00
KITFO,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,13.00
GORED GORED,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,14.00
TIBS WAT,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,12.00
KWANTA FIRFIR,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,12.00
LEGA TIBS,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,13.00
TIBS N' QUOSTA,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,16.00
GOMEN BESAEGA,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,12.00
BEEF DULET,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,13.00
TIBS ALECHA,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,12.00
DORO WAT,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,13.00
SPECIAL CHICKEN TIBS,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,13.00
SPECIAL TIBS LAMB,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,15.00
YEBEGE ALECHA WAT,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,15.00
FISH GULASHE,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,13.00
MESKEREM SPECIAL FISH,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,15.00
SHRIMP TIBS,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,14.00
MISER ALECHA,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,11.00
MISER WAT,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,11.00
SHIRO WAT,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,11.00
VEGETABLE #1,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,13.00
VEGETABLE #2,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,11.00
QUOSTA,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,12.00
WHITE BEANS,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,12.00
TOFU TIBS,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,13.00
BUTECHA,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,11.00
GOMEN WAT,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,12.00
BAKLAVA,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,5.00
TIRAMISU,MESKEREM ETHIOPIAN RESTAURANT,"ST. LOUIS, MO",,5.00
