name,restaurant_name,identifier,calories,price_usd
EGG & CHEDDAR CHEESE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.25
DOZEN SAVORY MIX - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,38.00
1/2 DOZEN SAVORY MIX - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,20.00
SMOKED BACON & EGG - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.50
CHORIZO & EGG - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.50
PIZZA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.50
VEGGIE DELIGHT - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.50
CHIPOTLE GRILLED CHICKEN - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.50
SPINACH FETA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.50
SPINACH CHICKEN - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.50
HONEY GLAZED HAM & EGG - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.50
PHILLY CHEESE STEAK - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.75
KOREAN BULGOGI - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.75
BRISKET JALAPENO - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.75
ALMOND BUTTER CROISSANT - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.50
CHOCOLATE PUFF - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.50
MAPLE PECAN CROISSANT - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.50
MUFFIN - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.00
BLUEBERRY - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,1.95
CINNAMON STICKY BUN - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.70
BREWED COFFEE - MEDIUM,BEACHES WEHO,"WEST HOLLYWOOD, CA",,2.50
BREWED COFFEE - LARGE,BEACHES WEHO,"WEST HOLLYWOOD, CA",,2.70
ESPRESSO AMERICANO - MEDIUM,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.50
ESPRESSO AMERICANO - LARGE,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.75
LATTE - MEDIUM,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.65
LATTE - LARGE,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.85
FLAVOURED LATTE - MEDIUM,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.75
FLAVOURED LATTE - LARGE,BEACHES WEHO,"WEST HOLLYWOOD, CA",,5.05
MOCHA - MEDIUM,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
MOCHA - LARGE,BEACHES WEHO,"WEST HOLLYWOOD, CA",,5.25
CAPPUCCINO - MEDIUM,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
CAPPUCCINO - LARGE,BEACHES WEHO,"WEST HOLLYWOOD, CA",,5.25
HOT CHOCOLATE - MEDIUM,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.55
HOT CHOCOLATE - LARGE,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.05
CARAMEL MACCHIATO - MEDIUM,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
CARAMEL MACCHIATO - LARGE,BEACHES WEHO,"WEST HOLLYWOOD, CA",,5.25
TAKE OUT COFFEE - 96 OZ,BEACHES WEHO,"WEST HOLLYWOOD, CA",,20.00
MILK TEA - REGULAR(L),BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.50
CHAI CINNAMON TEA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.25
MANGO PASSION FRUIT TEA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.75
COCONUT MANGO FRUIT TEA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.75
MANGO FRUIT TEA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.75
MANGO GREEN TEA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.75
PEACH FRUIT TEA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.75
PEACH GREEN TEA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.75
YUJU FRUIT TEA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.75
LYCHEE FRUIT TEA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.75
STRAWBERRY FRUIT TEA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.75
POMEGRANATE RASPBERRY FRUIT TEA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.75
POMEGRANATE STRAWBERRY FRUIT TEA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.75
ACAI BERRY FRUIT TEA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.75
STRAWBERRY ACAI WITH COCONUT MILK - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
PASSION HERBAL TEA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.75
MANGO SMOOTHIE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
PEACH SMOOTHIE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
STRAWBERRY BANANA SMOOTHIE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
MANGO PEACH SMOOTHIE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
BERRY BERRY SMOOTHIE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
COCONUT SMOOTHIE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
COCONUT MANGO SMOOTHIE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
COCONUT BANANA SMOOTHIE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
STRAWBERRY PEACH SMOOTHIE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
STRAWBERRY SMOOTHIE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
MANGO GREEN TEA LEMONADE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
PEACH GREEN TEA LEMONADE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
PEACH LEMONADE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
STRAWBERRY LEMONADE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
MANGO LEMONADE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
LYCHEE LEMONADE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
MANGO YAKULT SLUSH - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
YUJU SPARKLING SODA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.95
LEMONADE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,4.75
BOTTLED WATER - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,1.50
SODA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,2.00
SUNNY D - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,1.45
MINUTE MAID APPLE JUICE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,2.55
SIMPLY ORANGE JUICE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,2.95
STARBUCKS - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.75
PERRIER - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,2.65
S. PELLEGRINO - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,2.20
HONEST ORGANIC KID'S JUICE - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,1.20
RED BULL - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.20
MONSTER ENERGY DRINK - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,3.15
PURE LEAF SWEET TEA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,2.50
ARIZONA GREEN TEA - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,1.20
CHOCOLATE MILK - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,2.50
STRAWBERRY MILK - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,2.50
JALAPENO SAUSAGE WITH CHEDDAR - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,1.95
DOZEN SAUSAGE MIX - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,21.50
SMOKED SAUSAGE WITH CHEDDAR - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,1.85
1/2 DOZEN SAUSAGE MIX - REGULAR,BEACHES WEHO,"WEST HOLLYWOOD, CA",,11.00
