name,restaurant_name,identifier,calories,price_usd
AJI DE GALLINA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,10.00
PAPA A LA HUANCAINA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,7.00
ANTICUCHOS - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,8.00
YUCA A LA HUANCAINA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,8.00
CAMARONES EMPANIZADOS - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,13.00
CHOCLO CON QUESO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,7.00
CHOROS A LA CHALACA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,13.00
ENSALADA DE CAMARONES - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,13.00
HOUSE SALAD - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,5.00
PARIHUELA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,15.00
CHUPE DE CAMARONES - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,14.00
SOPA DE CHOROS - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,7.00
SOPA DE ALMEJAS - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,7.00
SOPA DE PESCADOS - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,7.00
CHILCANO DE PESCADO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,6.00
CEVICHE ESPECIAL - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,26.00
CEVICHE DE PESCADO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,13.00
CEVICHE MIXTO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,14.00
TIRADITO DE PESCADO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,20.00
CEVICHE DE MARISCOS - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,15.00
CEVICHE DE CAMARONES - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,15.00
WHOLE CHICKEN | POLLO ENTERO A LA BRASA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,18.00
HALF CHICKEN | MEDIO POLLO A LA BRASA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,10.00
POLLO ENTERO A LA BRASA WITH SODA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,22.00
POLLO SALTADO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,13.00
CHAUFA DE POLLO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,11.00
MILANESA DE POLLO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,13.00
TALLARIN SALTADO DE POLLO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,11.00
TALLARINES VERDES CON POLLO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,13.00
PECHUGA DE POLLO A LA PLANCHA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,12.00
ENTRANA A LA PARRILLA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,18.90
LOMO SALTADO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,13.50
LOMO SALTADO - EXTRA BEEF PORTION,BEEPS FAST FOOD,"VAN NUYS, CA",,18.50
CHURRASCO MOCHICA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,18.90
BISTECK A LO POBRE - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,16.00
BISTECK A LA PLANCHA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,12.00
TALLARINES VERDES CON BISTECK - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,14.00
CHAUFA DE CARNE - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,12.00
CHULETAS DE CERDO FRITO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,12.00
TALLARIN SALTADO DE CARNE - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,12.00
PESCADO SUDADO ESPECIAL - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,26.00
PESCADO A LO MACHO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,18.00
PESCADO SUDADO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,14.00
SALMON A LA PARRILLA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,18.00
PESCADO ENTERO FRITO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,20.00
FILETE DE PESCADO FRITO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,14.00
ARROZ CON MARISCOS - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,14.00
ARROZ CON CAMARONES - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,16.00
PESCADO EN SALSA DE CAMARONES - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,18.00
CHAUFA DE MARISCOS - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,15.00
CHAUFA DE CAMARONES - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,16.00
PICANTE DE MARISCOS - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,15.00
PICANTE DE CAMARONES - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,15.00
SALTADO DE MARISCOS - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,15.00
SALTADO DE CAMARONES - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,16.00
CAU CAU DE MARISCOS - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,20.00
CAMARONES AL AJO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,16.00
JALEA ESPECIAL - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,26.00
JALEA PERSONAL - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,19.00
CALAMARES FRITOS - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,14.00
CHICHARRON DE PESCADO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,14.00
CHICHARRON DE POLLO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,10.00
AJI - 3 OZ.,BEEPS FAST FOOD,"VAN NUYS, CA",,1.00
AJI - 8 OZ.,BEEPS FAST FOOD,"VAN NUYS, CA",,3.00
AJI - 16 OZ.,BEEPS FAST FOOD,"VAN NUYS, CA",,5.00
AJI - 32 OZ.,BEEPS FAST FOOD,"VAN NUYS, CA",,10.00
ARROZ - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,3.00
ARROZ AMARILLO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,4.00
PAPAS FRITAS - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,4.00
FREJOLES - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,3.00
MADUROS - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,4.00
CAMOTE SANCOCHADO - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,4.00
YUCA FRITA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,4.00
YUCA SANCOCHADA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,3.00
SALSA CRIOLLA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,3.00
ENSALADA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,3.00
TOSTONES - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,4.00
PAN - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,3.00
ALFAJORES - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,2.25
CREMA VOLTEADA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,4.00
COCA COLA - 355 ML.,BEEPS FAST FOOD,"VAN NUYS, CA",,2.00
COCA COLA - 2 LITERS,BEEPS FAST FOOD,"VAN NUYS, CA",,4.50
INCA KOLA - 355 ML.,BEEPS FAST FOOD,"VAN NUYS, CA",,2.50
INCA KOLA - 2 LITERS,BEEPS FAST FOOD,"VAN NUYS, CA",,4.50
CANADA DRY - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,2.00
COLOMBIANA - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,2.50
POSTOBON - REGULAR,BEEPS FAST FOOD,"VAN NUYS, CA",,2.50
CHICHA MORADA - 16 OZ.,BEEPS FAST FOOD,"VAN NUYS, CA",,2.50
CHICHA MORADA - LITER,BEEPS FAST FOOD,"VAN NUYS, CA",,6.00
