name,restaurant_name,identifier,calories,price_usd
BACON BREAKFAST BURRITO - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,4.29
CHORIZO BREAKFAST BURRITO - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,4.29
HASH BROWNS - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,1.99
BACON BREAKFAST BOWL - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,3.00
BISCUITS AND GRAVY - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,2.79
HAM BREAKFAST BAR - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,1.69
SAUSAGE BREAKFAST BOWL - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,3.00
SAUSAGE BREAKFAST BURRITO - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,4.29
CHICKEN CRISPITO - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,1.79
MINI TACOS - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,3.19
JALAPENO POPPERS - 1 TRAY,BOBAFINITEA,"PLEASANTON, CA",,3.19
BEEF CHIMICHANGA - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,2.89
BBQ BURRITO - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,1.79
BEAN & CHEESE BURRITO - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,1.79
PIZZA POCKET - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,2.79
JALAPENO CORN DOG - 1,BOBAFINITEA,"PLEASANTON, CA",,0.99
CHICKEN NUGGETS - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,3.09
CHICKEN WINGS - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,3.99
SANDWICH COMBO - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,7.00
FRIES - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,1.99
JOJO'S - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,1.99
ONION RINGS - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,1.99
CHEESE MUNCHERS - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,1.99
CHICKEN STRIPS - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,3.99
CHICKEN CORN DOG - 1 PIECE,BOBAFINITEA,"PLEASANTON, CA",,0.99
BEEF & BEAN BURRITO - 1 PIECE,BOBAFINITEA,"PLEASANTON, CA",,0.99
HAMBURGER - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,5.99
CHEESEBURGER COMBO - REGULAR,BOBAFINITEA,"PLEASANTON, CA",,7.99
