name,restaurant_name,identifier,calories,price_usd
1/2 DOZEN ASSORTED DONUTS - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,8.00
1 DOZEN ASSORTED DONUTS - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,14.00
WESTERN SCRAMBLE - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,7.50
THE WORKS - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,7.50
NO QUESO - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,7.50
NO EGGS - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,7.50
GREEN CHILE - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,7.50
GARDEN - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,7.50
CARNE ASADA BURRITO - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,11.00
CHORIZO BURRITO - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,11.00
VEGGIE BURRITO - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,10.00
DOUGHWORKS BURRITO - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,11.00
PANCAKES - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,12.00
FRENCH TOAST - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,12.00
CALIFORNIA OMELETTE - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,13.50
DENVER OMELETTE - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,12.00
PORTLAND OMELETTE - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,12.00
CHICAGO OMELETTE - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,12.00
TEXAS OMELETTE - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,13.00
CHORIZO SKILLET - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,12.50
SWEET POTATO SKILLET - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,12.00
STEAK SKILLET - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,13.00
SUPER BACON SALAD - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,11.00
CALIFORNIA CLUB SANDWICH - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,12.00
SMOKE BURGER - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,12.00
EAST COAST BURGER - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,11.50
ABQ BURGER - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,11.50
FISH & CHIPS BASKET - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,12.50
BUFFALO CHICKEN WRAP - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,12.00
CHICKEN & CHIPS - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,12.00
CHICKEN SALAD SANDWICH - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,11.50
BACON - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,3.00
GROUND CHORIZO - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,3.00
SAUSAGE PATTIES - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,3.00
EGG (1) - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,2.50
GREEN CHILE STEW - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,2.00
RED CHILE SAUCE - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,1.50
SAUSAGE GRAVY - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,2.50
TOMATILLO SAUCE - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,1.50
QUESO - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,2.50
BISCUIT - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,2.50
HOME FRIES - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,2.00
TOAST - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,1.50
AVOCADO - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,2.75
QUINOA - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,1.75
SWEET POTATOES - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,2.00
SMOOTHIES - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,5.00
JUICE - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,3.00
DRIP COFFEE - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,2.50
CAPPUCCINO - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,3.50
CHAI - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,3.75
FOUNTAIN DRINKS - REGULAR,DURANGO DOUGHWORKS,"DURANGO, CO",,2.50
