name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,0.00
GARDEN SALAD - SMALL,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,5.25
GARDEN SALAD - LARGE,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,7.85
ASIAN  SALAD - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,7.65
CAESAR SALAD - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,7.65
EXTRA BALSAMIC VINAIGRETTE - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,0.50
EXTRA RANCH - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,0.50
EXTRA CAESAR - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,0.50
EXTRA ASIAN - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,0.50
KID'S CHEESE QUESADILLA - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,5.35
KID'S GRILLED CHEESE - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,5.35
KID'S PLAIN BURGER - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,6.40
KID'S PLAIN HOT DOG - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,5.95
COOKIES - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,1.60
FRENCH FRIES - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,3.30
GARLIC FRIES - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,4.20
KETTLE CHIPS - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,3.10
PESTO FRIES - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,4.50
REGULAR POTATO CHIPS - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,1.95
SIDE OF RANCH - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,0.50
ZOO FRIES - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,4.55
CHILI CHEESE FRIES - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,6.90
1/2 REGULAR 1/2 SWEET POTATO FRIES - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,4.50
SWEET POTATO FRIES - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,5.20
BACON & BLEU BURGER - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,10.30
BASIC BURGER - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,8.45
CHICKEN SANDWICH - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,10.05
GARLIC & ONION CHEESEBURGER - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,10.30
GRILLED CHEESE SANDWICH - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,5.35
HABANERO BURGER - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,10.55
HEISENBURGER - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,12.15
JUST A BEEF PATTY - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,5.00
JUST A BISON PATTY - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,8.15
JUST A CHICKEN BREAST - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,5.00
JUST A NUTBURGER PATTY - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,5.00
SMOLDERING PINE BURGER - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,11.60
SWISS & MUSHROOM BURGER - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,10.30
BEYOND MEAT BURGER - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,10.55
VEGETARIAN NUT BURGER - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,11.05
KRAUT DOG - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,7.90
HOT DOG - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,7.00
BENNY RASCAL DOG - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,8.15
HOT DOG WITH CHEDDAR CHEESE - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,7.90
HOUND DOG - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,9.45
CREATE YOUR OWN 16OZ SHAKE - REGULAR 16OZ,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,6.95
CREATE YOUR OWN 16OZ SHAKE - DAIRY FREE 16OZ,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,9.75
FOUNTAIN DRINK | ICED TEA | LEMONADE - 16OZ - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,3.05
SODA FREEZE - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,6.35
ROOT BEER SODA FLOAT - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,6.35
MILK - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,1.90
BOTTLED WATER - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,1.80
DIET PEPSI - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,1.10
HANSEN'S - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,1.95
IBC ROOT BEER - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,3.00
PELLEGRINO - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,2.90
PEPSI - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,1.10
REED'S GINGER BEER - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,3.20
NC KOMBUCHA - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,5.35
LACROIX - 12OZ,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,1.95
ASIAN CHICKEN WRAP - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,10.05
CHICKEN CAESAR WRAP - REGULAR,EAST MAIN & DORSEY - PINE STREET BURGERS,"GRASS VALLEY, CA",,10.05
