name,restaurant_name,identifier,calories,price_usd
BUTTERED ROLL - REGULAR,ECLIPSE BISTRO,"WILMINGTON, DE",,1.49
"BACON, EGG & CHEESE SANDWICH - REGULAR",ECLIPSE BISTRO,"WILMINGTON, DE",,3.99
EGG & CHEESE SANDWICH - REGULAR,ECLIPSE BISTRO,"WILMINGTON, DE",,2.99
"HAM, EGG & CHEESE SANDWICH - REGULAR",ECLIPSE BISTRO,"WILMINGTON, DE",,3.99
"SAUSAGE, EGG & CHEESE SANDWICH - REGULAR",ECLIPSE BISTRO,"WILMINGTON, DE",,3.99
VERY BERRY SMOOTHIE - 16 OZ.,ECLIPSE BISTRO,"WILMINGTON, DE",,4.99
VERY BERRY SMOOTHIE - 24 OZ.,ECLIPSE BISTRO,"WILMINGTON, DE",,5.99
GREEN MACHINE SMOOTHIE - 16 OZ.,ECLIPSE BISTRO,"WILMINGTON, DE",,4.99
GREEN MACHINE SMOOTHIE - 24 OZ.,ECLIPSE BISTRO,"WILMINGTON, DE",,5.99
TROPICAL ISLAND SMOOTHIE - 16 OZ.,ECLIPSE BISTRO,"WILMINGTON, DE",,4.99
TROPICAL ISLAND SMOOTHIE - 24 OZ.,ECLIPSE BISTRO,"WILMINGTON, DE",,5.99
GIN-ZING SMOOTHIE - 16 OZ.,ECLIPSE BISTRO,"WILMINGTON, DE",,4.99
GIN-ZING SMOOTHIE - 24 OZ.,ECLIPSE BISTRO,"WILMINGTON, DE",,5.99
SUNRISE SMOOTHIE - 16 OZ.,ECLIPSE BISTRO,"WILMINGTON, DE",,4.99
SUNRISE SMOOTHIE - 24 OZ.,ECLIPSE BISTRO,"WILMINGTON, DE",,5.99
POMEGRANATE PUNCH SMOOTHIE - 16 OZ.,ECLIPSE BISTRO,"WILMINGTON, DE",,4.99
POMEGRANATE PUNCH SMOOTHIE - 24 OZ.,ECLIPSE BISTRO,"WILMINGTON, DE",,5.99
PEACHY CLEAN SMOOTHIE - 16 OZ.,ECLIPSE BISTRO,"WILMINGTON, DE",,4.99
PEACHY CLEAN SMOOTHIE - 24 OZ.,ECLIPSE BISTRO,"WILMINGTON, DE",,5.99
DETOX SMOOTHIE - 16 OZ.,ECLIPSE BISTRO,"WILMINGTON, DE",,5.99
DETOX SMOOTHIE - 24 OZ.,ECLIPSE BISTRO,"WILMINGTON, DE",,6.99
