name,restaurant_name,identifier,calories,price_usd
UNDA ROLL - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,4.45
ALOO MASALA ROLL (V) - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,5.60
UNDA ALOO ROLL - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,7.00
ACHARI PANEER ROLL (V) - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,7.15
UNDA PANEER ROLL - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,8.50
CHANA MASALA ROLL (V) - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,6.50
UNDA CHANA ROLL - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,7.90
CHICKEN TIKKA ROLL - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,6.70
UNDA CHICKEN ROLL - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,8.10
SHAMI KABAB ROLL - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,7.20
UNDA SHAMI ROLL - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,8.60
CHICKEN MOMOS - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,7.99
VEGAN MOMOS - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,7.99
SPICY POTATO CHIPS - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,2.25
RAITA SAUCE - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,1.00
CHUTNEY SAUCE - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,0.50
GREEN CHILIES - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,0.50
PARATHA - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,2.00
ROTI - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,2.00
MANGO LASSI - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,5.65
SARATOGA WATER - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,2.75
CANNED SODA - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,1.85
SAN PELLEGRINO ORANGE CAN - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,3.00
SAN PELLEGRINO BOTTLE - REGULAR,EL PATRON RESTAURANTE MEXICANO,"CHOWNOW, ORLANDO, FL",,2.75
