name,restaurant_name,identifier,calories,price_usd
EGG (1) ANY STYLE - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,4.95
EGGS (2) ANY STYLE - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,3.75
HOMEMADE CORN BEEF HASH & EGGS (2) - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,9.95
SAUSAGE GRAVY BISCUIT WITH EGGS (2) - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,7.95
SAUSAGE GRAVY BISCUIT - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,5.95
PLAIN OMELETTE - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,5.95
WESTERN OMELETTE - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,8.95
SPANISH OMELETTE - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,8.95
BACON OR SAUSAGE OMELETTE - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,8.25
GREEK OMELETTE - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,9.85
PHILLY CHEESE OMELETTE - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,9.95
VEGGIE OMELETTE - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,8.95
GYRO & FETA OMELETTE - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,9.95
HAM & CHEESE OMELETTE - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,8.95
EGGS BENEDICT - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,10.95
JOHNNY'S BENEDICT - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,12.95
EGGS FLORENTINE - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,11.50
PHILLY BENEDICT - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,11.95
CRAB CAKE BENEDICT - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,13.95
IRISH BENEDICT - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,13.95
ITALIAN SAUSAGE BREAKFAST SANDWICH - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,9.95
JERSEY BREAKFAST - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,8.95
EGG & CHEESE ON BAGEL - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,5.50
TEXAS FRENCH TOAST - SHORT STACK,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,5.50
TEXAS FRENCH TOAST - FULL STACK,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,6.50
CINNAMON ROLL FRENCH TOAST - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,7.95
BELGIAN WAFFLE - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,6.50
BANANA FOSTER WAFFLE - REGULAR,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,8.25
CAPTAIN CRUNCH PANCAKES - SHORT STACK | 3,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,6.95
CAPTAIN CRUNCH PANCAKES - FULL STACK | 5,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,7.95
PEANUT BUTTER PANCAKES - SHORT STACK | 3,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,6.95
PEANUT BUTTER PANCAKES - FULL STACK | 5,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,7.95
PECAN PANCAKES - SHORT STACK | 3,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,7.95
PECAN PANCAKES - FULL STACK | 5,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,9.25
STRAWBERRY PANCAKES - SHORT STACK | 3,FLAPJACK JOHNNYS,"ORMOND BEACH, FL",,6.95
