name,restaurant_name,identifier,calories,price_usd
FARMERS BOWL - REGULAR,GAZPACHO,"DURANGO, CO",,12.99
FARMERS BOWL - LARGE,GAZPACHO,"DURANGO, CO",,15.99
GARDEN BOWL - REGULAR,GAZPACHO,"DURANGO, CO",,12.99
GARDEN BOWL - LARGE,GAZPACHO,"DURANGO, CO",,15.99
THE LEO BOWL - REGULAR,GAZPACHO,"DURANGO, CO",,12.99
THE LEO BOWL - LARGE,GAZPACHO,"DURANGO, CO",,15.99
SALMON SUNRISE BOWL - REGULAR,GAZPACHO,"DURANGO, CO",,12.99
SALMON SUNRISE BOWL - LARGE,GAZPACHO,"DURANGO, CO",,15.99
TUNA SPECIAL BOWL - REGULAR,GAZPACHO,"DURANGO, CO",,12.99
TUNA SPECIAL BOWL - LARGE,GAZPACHO,"DURANGO, CO",,15.99
SPICY SHRIMP BOWL - REGULAR,GAZPACHO,"DURANGO, CO",,12.99
SPICY SHRIMP BOWL - LARGE,GAZPACHO,"DURANGO, CO",,15.99
UPTOWN BOWL - REGULAR,GAZPACHO,"DURANGO, CO",,12.99
UPTOWN BOWL - LARGE,GAZPACHO,"DURANGO, CO",,15.99
THE WEST SIDE BOWL - REGULAR,GAZPACHO,"DURANGO, CO",,12.99
THE WEST SIDE BOWL - LARGE,GAZPACHO,"DURANGO, CO",,15.99
YELLOWTAIL SUPREME BOWL - REGULAR,GAZPACHO,"DURANGO, CO",,12.99
YELLOWTAIL SUPREME BOWL - LARGE,GAZPACHO,"DURANGO, CO",,15.99
BUILD YOUR OWN POKE BOWL | REGULAR 24OZ - REGULAR,GAZPACHO,"DURANGO, CO",,12.99
BUILD YOUR OWN POKE BOWL |  LARGE 32OZ - REGULAR,GAZPACHO,"DURANGO, CO",,15.99
BUILD YOUR OWN VEGGIE BOWL - REGULAR,GAZPACHO,"DURANGO, CO",,10.99
BUILD YOUR OWN VEGGIE BOWL - LARGE,GAZPACHO,"DURANGO, CO",,13.99
BUILD YOUR OWN BURRITO - REGULAR,GAZPACHO,"DURANGO, CO",,12.99
BUILD YOUR OWN VEGGIE BURRITO - REGULAR,GAZPACHO,"DURANGO, CO",,10.99
SEAWEED SALAD - REGULAR,GAZPACHO,"DURANGO, CO",,4.50
KANI SALAD - REGULAR,GAZPACHO,"DURANGO, CO",,5.50
WHITE RICE - REGULAR,GAZPACHO,"DURANGO, CO",,3.00
ORIGINAL (BLACK TEA WITH MILK) - REGULAR,GAZPACHO,"DURANGO, CO",,5.00
GREEN TEA - REGULAR,GAZPACHO,"DURANGO, CO",,5.00
CAPPUCCINO - REGULAR,GAZPACHO,"DURANGO, CO",,5.00
TARO (VANILLA) - REGULAR,GAZPACHO,"DURANGO, CO",,5.00
HAWAIIAN (PINEAPPLE) - REGULAR,GAZPACHO,"DURANGO, CO",,5.00
VEGETABLE SOUP - 12OZ,GAZPACHO,"DURANGO, CO",,5.99
SEAFOOD SOUP - 12OZ,GAZPACHO,"DURANGO, CO",,6.99
MISO NOODLE SOUP - 12 OZ,GAZPACHO,"DURANGO, CO",,5.99
