name,restaurant_name,identifier,calories,price_usd
2 EGGS ANY STYLE - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,6.50
2 EGGS ANY STYLE WITH MEAT - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,9.50
CORNED BEEF HASH & EGGS - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,10.75
VIRGINIA HAM STEAK & EGGS - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,14.75
EGGS BENEDICT - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,11.45
EGGS FLORENTINE - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,11.45
POACHED EGGS - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,6.65
ROUMANIAN STEAK & EGGS - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,19.95
MIKE'S SPECIAL - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,12.45
BIG BREAKFAST - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,13.25
BREAKFAST QUESADILLA - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,12.25
1 EGG ANY STYLE - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,5.45
1 EGG ANY STYLE WITH MEAT - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,8.45
CAN’T DECIDE - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,13.95
HOT GRITS - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,4.75
HOT OATMEAL WITH MILK - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,4.25
ASSORTED CEREAL WITH MILK - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,3.50
GOLDEN BROWN PANCAKE - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,7.50
GOLDEN BROWN PANCAKE WITH MEAT - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,10.50
GOLDEN BROWN PANCAKE WITH CANADIAN BACON - REGULAR,HANK & HAZEL'S REALLY GOOD SAUSAGE,"VACAVILLE, CA",,10.80
