name,restaurant_name,identifier,calories,price_usd
TOKYO STYLE WITH SOUP - REGULAR,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,13.75
TOKYO STYLE WITH SOUP - LARGE,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,15.25
TOKYO STYLE WITHOUT SOUP - REGULAR,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,13.25
TOKYO STYLE WITHOUT SOUP - LARGE,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,14.75
DOWNTOWN STYLE WITH SOUP - REGULAR,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,13.75
DOWNTOWN STYLE WITH SOUP - LARGE,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,15.25
DOWNTOWN STYLE WITHOUT SOUP - REGULAR,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,13.25
DOWNTOWN STYLE WITHOUT SOUP - LARGE,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,14.75
ORIGINAL STYLE WITH SOUP - REGULAR,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,13.75
ORIGINAL STYLE WITH SOUP - LARGE,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,15.25
ORIGINAL STYLE WITHOUT SOUP - REGULAR,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,13.25
ORIGINAL STYLE WITHOUT SOUP - LARGE,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,14.75
MABO RICE BOWL - REGULAR,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,6.00
CHARSIU BOWL - REGULAR,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,6.00
PORK BUN - REGULAR,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,3.50
SPICY PORK BUN - REGULAR,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,4.00
SODA - REGULAR,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,2.00
OOLONG TEA - REGULAR,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,3.00
CALPICO - REGULAR,KILLER NOODLE - SAN GABRIEL,"SAN GABRIEL, CA",,3.00
