name,restaurant_name,identifier,calories,price_usd
#1 - 2 MEDIUM PEPPERONI PIZZAS - 2 MEDIUM PIZZAS,KING COLE PIZZA,"LOS ANGELES, CA",,26.95
#2 - 2 LARGE PEPPERONI PIZZAS - 2 LARGE PIZZAS,KING COLE PIZZA,"LOS ANGELES, CA",,34.95
#3 - 2 X-LRG. PEPPERONI PIZZAS - 2 X-LARGE PIZZAS,KING COLE PIZZA,"LOS ANGELES, CA",,37.95
#4 - ANNIVERSARY SPECIAL - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,40.20
#5 - MANAGER SPECIAL - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,27.95
#6 - XL MANAGER SPECIAL - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,31.95
#7 - DAILY SPECIAL - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,32.95
#8 - XL DAILY SPECIAL - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,36.95
#9 - FAMILY SPECIAL - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,68.95
CHICKEN TENDERS (6) - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,8.65
POTATO WEDGES - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,5.45
LENTIL SOUP - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,4.55
1/4 LOAF GARLIC BREAD - 2 PCS.,KING COLE PIZZA,"LOS ANGELES, CA",,2.40
1/2 LOAF GARLIC BREAD - 4 PCS.,KING COLE PIZZA,"LOS ANGELES, CA",,4.35
1 LOAF GARLIC BREAD - 8 PCS.,KING COLE PIZZA,"LOS ANGELES, CA",,7.95
GARLIC KNOTS - 8 PCS.,KING COLE PIZZA,"LOS ANGELES, CA",,4.75
GARLIC KNOTS - 16 PCS.,KING COLE PIZZA,"LOS ANGELES, CA",,8.25
MOZZARELLA CHEESE STICKS - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,8.65
DINNER SALAD - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,4.95
DINNER SALAD - LARGE,KING COLE PIZZA,"LOS ANGELES, CA",,7.50
ANTIPASTO SALAD - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,6.45
ANTIPASTO SALAD - LARGE,KING COLE PIZZA,"LOS ANGELES, CA",,8.95
CHEF'S SALAD - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,6.45
CHEF'S SALAD - LARGE,KING COLE PIZZA,"LOS ANGELES, CA",,8.95
CHICKEN SALAD - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,6.45
CHICKEN SALAD - LARGE,KING COLE PIZZA,"LOS ANGELES, CA",,8.95
MEATBALL SANDWICH - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,8.50
PASTRAMI SANDWICH - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,8.50
HAM SANDWICH - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,8.50
TURKEY SANDWICH - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,8.50
PHILADELPHIA CHEESE STEAK - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,9.75
CHEESE CALZONE - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,9.75
SPAGHETTI WITH MEAT SAUCE - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,9.95
SPAGHETTI WITH 2 MEATBALLS - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,11.85
SPAGHETTI WITH ALFREDO - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,9.95
RAVIOLI WITH MEAT SAUCE - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,10.55
RAVIOLI WITH 2 MEATBALLS - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,12.45
BAKED ZITI WITH MEAT SAUCE - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,10.55
BAKED ZITI WITH 2 MEATBALLS - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,12.45
LASAGNA WITH MEAT SAUCE - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,10.55
LASAGNA WITH 2 MEATBALLS - REGULAR,KING COLE PIZZA,"LOS ANGELES, CA",,12.45
MOZZARELLA CHEESE PIZZA | SMALL - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,9.85
CHEESE & 1 TOPPING PIZZA | SMALL - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,10.85
CHEESE & 2 TOPPING PIZZA | SMALL - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,11.85
CHEESE & 3 TOPPING PIZZA | SMALL - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,12.85
CHEESE & 4 TOPPING PIZZA | SMALL - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,13.85
MOZZARELLA CHEESE PIZZA | MEDIUM - MEDIUM,KING COLE PIZZA,"LOS ANGELES, CA",,14.55
CHEESE & 1 TOPPING PIZZA | MEDIUM - MEDIUM,KING COLE PIZZA,"LOS ANGELES, CA",,15.90
CHEESE & 2 TOPPING PIZZA | MEDIUM - MEDIUM,KING COLE PIZZA,"LOS ANGELES, CA",,17.25
CHEESE & 3 TOPPING PIZZA | MEDIUM - MEDIUM,KING COLE PIZZA,"LOS ANGELES, CA",,18.60
CHEESE & 4 TOPPING PIZZA | MEDIUM - MEDIUM,KING COLE PIZZA,"LOS ANGELES, CA",,19.95
MOZZARELLA CHEESE PIZZA | LARGE - LARGE,KING COLE PIZZA,"LOS ANGELES, CA",,18.25
CHEESE & 1 TOPPING PIZZA | LARGE - LARGE,KING COLE PIZZA,"LOS ANGELES, CA",,20.10
CHEESE & 2 TOPPING PIZZA | LARGE - LARGE,KING COLE PIZZA,"LOS ANGELES, CA",,21.95
CHEESE & 3 TOPPING PIZZA | LARGE - LARGE,KING COLE PIZZA,"LOS ANGELES, CA",,23.80
CHEESE & 4 TOPPING PIZZA | LARGE - LARGE,KING COLE PIZZA,"LOS ANGELES, CA",,25.65
MOZZARELLA CHEESE PIZZA | X-LARGE - EXTRA LARGE,KING COLE PIZZA,"LOS ANGELES, CA",,20.75
CHEESE & 1 TOPPING PIZZA | X-LARGE - EXTRA LARGE,KING COLE PIZZA,"LOS ANGELES, CA",,22.95
CHEESE & 2 TOPPING PIZZA | X-LARGE - EXTRA LARGE,KING COLE PIZZA,"LOS ANGELES, CA",,25.15
CHEESE & 3 TOPPING PIZZA | X-LARGE - EXTRA LARGE,KING COLE PIZZA,"LOS ANGELES, CA",,27.35
CHEESE & 4 TOPPING PIZZA | X-LARGE - EXTRA LARGE,KING COLE PIZZA,"LOS ANGELES, CA",,29.55
KING COLE DELUXE PIZZA | SMALL - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,13.85
MEAT LOVERS PIZZA | SMALL - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,13.85
VEGETARIAN PIZZA | SMALL - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,13.85
HAWAIIAN PIZZA | SMALL - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,11.85
CHICANO SPECIAL PIZZA | SMALL - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,12.85
MEXICANA PIZZA | SMALL - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,13.85
SUPREME PIZZA | SMALL - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,16.95
WHITE PIZZA | SMALL - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,12.85
CHICKEN RANCH PIZZA | SMALL - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,13.85
BBQ CHICKEN PIZZA | SMALL - SMALL,KING COLE PIZZA,"LOS ANGELES, CA",,13.85
KING COLE DELUXE PIZZA | MEDIUM - MEDIUM,KING COLE PIZZA,"LOS ANGELES, CA",,19.95
MEAT LOVERS PIZZA | MEDIUM - MEDIUM,KING COLE PIZZA,"LOS ANGELES, CA",,19.95
VEGETARIAN PIZZA | MEDIUM - MEDIUM,KING COLE PIZZA,"LOS ANGELES, CA",,19.95
HAWAIIAN PIZZA | MEDIUM - MEDIUM,KING COLE PIZZA,"LOS ANGELES, CA",,17.25
