name,restaurant_name,identifier,calories,price_usd
"BACON, EGG & CHEESE SANDWICH - REGULAR",L'ORCIO,"NEW HAVEN, CT",,3.49
"TURKEY BACON, EGG CHEESE SANDWICH - REGULAR",L'ORCIO,"NEW HAVEN, CT",,3.49
"SAUSAGE, EGG & CHEESE SANDWICH - REGULAR",L'ORCIO,"NEW HAVEN, CT",,3.49
"TURKEY, EGG & CHEESE SANDWICH - REGULAR",L'ORCIO,"NEW HAVEN, CT",,3.49
"HAM, EGG & CHEESE SANDWICH - REGULAR",L'ORCIO,"NEW HAVEN, CT",,3.49
"GYRO, EGG & CHEESE SANDWICH - REGULAR",L'ORCIO,"NEW HAVEN, CT",,4.49
"STEAK, EGG & CHEESE SANDWICH - REGULAR",L'ORCIO,"NEW HAVEN, CT",,4.49
"GRILLED CHICKEN, EGG & CHEESE SANDWICH - REGULAR",L'ORCIO,"NEW HAVEN, CT",,4.49
"BACON, EGG & CHEESE SANDWICH COMBO - REGULAR",L'ORCIO,"NEW HAVEN, CT",,6.99
"TURKEY, BACON, EGG & CHEESE COMBO - REGULAR",L'ORCIO,"NEW HAVEN, CT",,6.99
"SAUSAGE, EGG & CHEESE SANDWICH COMBO - REGULAR",L'ORCIO,"NEW HAVEN, CT",,6.99
"TURKEY, EGG & CHEESE SANDWICH COMBO - REGULAR",L'ORCIO,"NEW HAVEN, CT",,6.99
"HAM, EGG & CHEESE SANDWICH COMBO - REGULAR",L'ORCIO,"NEW HAVEN, CT",,6.99
"GYRO, EGG & CHEESE SANDWICH COMBO - REGULAR",L'ORCIO,"NEW HAVEN, CT",,7.99
"STEAK, EGG & CHEESE COMBO - REGULAR",L'ORCIO,"NEW HAVEN, CT",,7.99
"GRILLED CHICKEN, EGG & CHEESE SANDWICH COMBO - REGULAR",L'ORCIO,"NEW HAVEN, CT",,7.99
GYRO OMELET - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.49
PHILLY CHEESE STEAK OMELET - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.49
GRILLED CHICKEN OMELET - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.49
BACON OMELET - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.49
SAUSAGE OMELET - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.49
HAM OMELET - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.49
TURKEY BACON OMELET - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.49
VEGETARIAN OMELET - REGULAR,L'ORCIO,"NEW HAVEN, CT",,5.99
CHEESE OMELET - REGULAR,L'ORCIO,"NEW HAVEN, CT",,5.99
BREAKFAST BURRITO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,3.29
BREAKFAST BURRITO COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.79
BISCUITS & GRAVY - REGULAR,L'ORCIO,"NEW HAVEN, CT",,3.29
GREEK SALAD - HALF,L'ORCIO,"NEW HAVEN, CT",,4.99
GREEK SALAD - WHOLE,L'ORCIO,"NEW HAVEN, CT",,7.99
GYRO SALAD - HALF,L'ORCIO,"NEW HAVEN, CT",,5.99
GYRO SALAD - WHOLE,L'ORCIO,"NEW HAVEN, CT",,8.99
STEAK SALAD - HALF,L'ORCIO,"NEW HAVEN, CT",,5.99
STEAK SALAD - WHOLE,L'ORCIO,"NEW HAVEN, CT",,8.99
CHICKEN SALAD - HALF,L'ORCIO,"NEW HAVEN, CT",,5.99
CHICKEN SALAD - WHOLE,L'ORCIO,"NEW HAVEN, CT",,8.99
HOUSE GYRO SANDWICH - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.79
CHICKEN GYRO SANDWICH - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.79
PHILLY CHEESE STEAK SANDWICH - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.79
PHILLY CHEESE CHICKEN SANDWICH - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.79
GRILLED CHICKEN SANDWICH - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.79
CRISPY CHICKEN SANDWICH - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.79
BLT SANDWICH - REGULAR,L'ORCIO,"NEW HAVEN, CT",,5.49
CHILI-CHEESE BEEF HOT DOG SANDWICH - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.79
GRILLED CHEESE ON TEXAS TOAST SANDWICH - REGULAR,L'ORCIO,"NEW HAVEN, CT",,4.99
GRILLED CHEESE ON GLAZED DONUT SANDWICH - REGULAR,L'ORCIO,"NEW HAVEN, CT",,5.39
HOUSE GYRO SANDWICH COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,9.99
CHICKEN GYRO SANDWICH COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,9.99
PHILLY CHEESE STEAK SANDWICH COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,9.99
PHILLY CHEESE CHICKEN SANDWICH COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,9.99
GRILLED CHICKEN SANDWICH COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,9.99
CRISPY CHICKEN SANDWICH COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,9.99
BLT SANDWICH COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,8.49
CHILI-CHEESE BEEF HOT DOG COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,9.99
GRILLED CHEESE ON TEXAS TOAST COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,7.99
GRILLED CHEESE ON GLAZED DONUT COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,8.39
SWEET SPOT BURGER - REGULAR,L'ORCIO,"NEW HAVEN, CT",,5.99
SWEET SPOT CHEESEBURGER - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.99
BACON CHEESEBURGER - REGULAR,L'ORCIO,"NEW HAVEN, CT",,7.99
MUSHROOM CHEESEBURGER - REGULAR,L'ORCIO,"NEW HAVEN, CT",,7.99
GLAZED DONUT BURGER - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.99
CHILI CHEESEBURGER - REGULAR,L'ORCIO,"NEW HAVEN, CT",,7.99
WESTERN CHEESEBURGER - REGULAR,L'ORCIO,"NEW HAVEN, CT",,8.49
SWEET SPOT BURGER COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,8.99
SWEET SPOT CHEESEBURGER COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,9.99
BACON CHEESEBURGER COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,10.49
MUSHROOM CHEESEBURGER COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,10.49
GLAZED DONUT BURGER COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,9.49
CHILI CHEESEBURGER COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,10.49
WESTERN CHEESEBURGER COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,10.99
SWEET SPOT NACHOS - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.49
SWEET SPOT CHICKEN WINGS - 6 PIECES,L'ORCIO,"NEW HAVEN, CT",,5.99
SWEET SPOT CHICKEN WINGS - 12 PIECES,L'ORCIO,"NEW HAVEN, CT",,11.99
CRISPY CHICKEN TENDER BASKET - REGULAR,L'ORCIO,"NEW HAVEN, CT",,7.99
CHILI CHEESE FRIES - REGULAR,L'ORCIO,"NEW HAVEN, CT",,4.49
FALAFEL SANDWICH - REGULAR,L'ORCIO,"NEW HAVEN, CT",,6.49
HUMMUS DIP WITH PITA BREAD - REGULAR,L'ORCIO,"NEW HAVEN, CT",,5.99
BABA GHANOUSH DIP WITH PITA BREAD - REGULAR,L'ORCIO,"NEW HAVEN, CT",,5.99
FALAFEL SANDWICH COMBO - REGULAR,L'ORCIO,"NEW HAVEN, CT",,9.99
DONUT - REGULAR,L'ORCIO,"NEW HAVEN, CT",,0.99
SWEET SPOT DONUTS - REGULAR,L'ORCIO,"NEW HAVEN, CT",,5.49
PASTRIES - REGULAR,L'ORCIO,"NEW HAVEN, CT",,1.79
BAKLAVA - REGULAR,L'ORCIO,"NEW HAVEN, CT",,2.29
CANNOLI - REGULAR,L'ORCIO,"NEW HAVEN, CT",,2.29
BAGEL - REGULAR,L'ORCIO,"NEW HAVEN, CT",,1.29
6 PACK BAGEL - REGULAR,L'ORCIO,"NEW HAVEN, CT",,5.99
SWEET SPOT DOZEN - REGULAR,L'ORCIO,"NEW HAVEN, CT",,9.99
KIDS CHICKEN TENDERS - REGULAR,L'ORCIO,"NEW HAVEN, CT",,5.99
KIDS HAMBURGER - REGULAR,L'ORCIO,"NEW HAVEN, CT",,5.99
KIDS HOT DOG - REGULAR,L'ORCIO,"NEW HAVEN, CT",,5.99
KIDS GRILLED CHEESE - REGULAR,L'ORCIO,"NEW HAVEN, CT",,5.99
FRIES - REGULAR,L'ORCIO,"NEW HAVEN, CT",,2.99
CHEESE FRIES - REGULAR,L'ORCIO,"NEW HAVEN, CT",,3.49
SWEET POTATO FRIES - REGULAR,L'ORCIO,"NEW HAVEN, CT",,2.99
HUMMUS - REGULAR,L'ORCIO,"NEW HAVEN, CT",,2.99
BABA GHANOUSH - REGULAR,L'ORCIO,"NEW HAVEN, CT",,2.99
HASH BROWNS - REGULAR,L'ORCIO,"NEW HAVEN, CT",,2.99
GARDEN SIDE SALAD - REGULAR,L'ORCIO,"NEW HAVEN, CT",,2.99
BEER BATTERED ONION RINGS - REGULAR,L'ORCIO,"NEW HAVEN, CT",,2.99
CHILI - REGULAR,L'ORCIO,"NEW HAVEN, CT",,2.99
FALAFEL BALL (1) - REGULAR,L'ORCIO,"NEW HAVEN, CT",,0.69
2 DONUTS - REGULAR,L'ORCIO,"NEW HAVEN, CT",,1.98
SPICY ONION RINGS - REGULAR,L'ORCIO,"NEW HAVEN, CT",,2.99
MIXED BERRY SMOOTHIE - SMALL (20 OZ.),L'ORCIO,"NEW HAVEN, CT",,3.49
MIXED BERRY SMOOTHIE - LARGE (32 OZ.),L'ORCIO,"NEW HAVEN, CT",,4.99
TROPICAL SMOOTHIE - SMALL (20 OZ.),L'ORCIO,"NEW HAVEN, CT",,3.49
TROPICAL SMOOTHIE - LARGE (32 OZ.),L'ORCIO,"NEW HAVEN, CT",,4.99
STRAWBERRY SMOOTHIE - SMALL (20 OZ.),L'ORCIO,"NEW HAVEN, CT",,3.49
STRAWBERRY SMOOTHIE - LARGE (32 OZ.),L'ORCIO,"NEW HAVEN, CT",,4.99
STRAWBERRY BANANA SMOOTHIE - SMALL (20 OZ.),L'ORCIO,"NEW HAVEN, CT",,3.49
STRAWBERRY BANANA SMOOTHIE - LARGE (32 OZ.),L'ORCIO,"NEW HAVEN, CT",,4.99
FOUNTAIN SODA - 20OZ,L'ORCIO,"NEW HAVEN, CT",,1.89
FOUNTAIN SODA - 32OZ,L'ORCIO,"NEW HAVEN, CT",,2.39
CAFE MOCHA - SMALL,L'ORCIO,"NEW HAVEN, CT",,3.29
CAFE MOCHA - LARGE,L'ORCIO,"NEW HAVEN, CT",,3.99
CAFE LATTE - SMALL,L'ORCIO,"NEW HAVEN, CT",,3.29
CAFE LATTE - LARGE,L'ORCIO,"NEW HAVEN, CT",,3.99
CAPPUCCINO - SMALL,L'ORCIO,"NEW HAVEN, CT",,3.29
CAPPUCCINO - LARGE,L'ORCIO,"NEW HAVEN, CT",,3.99
CAFE AMERICANO - SMALL,L'ORCIO,"NEW HAVEN, CT",,2.49
CAFE AMERICANO - LARGE,L'ORCIO,"NEW HAVEN, CT",,3.29
HOT CHOCOLATE - SMALL,L'ORCIO,"NEW HAVEN, CT",,2.49
HOT CHOCOLATE - LARGE,L'ORCIO,"NEW HAVEN, CT",,3.29
ICED COFFEE DRINKS - SMALL,L'ORCIO,"NEW HAVEN, CT",,3.99
ICED COFFEE DRINKS - LARGE,L'ORCIO,"NEW HAVEN, CT",,4.99
HOT COFFEE - SMALL,L'ORCIO,"NEW HAVEN, CT",,1.39
HOT COFFEE - LARGE,L'ORCIO,"NEW HAVEN, CT",,1.79
HOT TEA - SMALL,L'ORCIO,"NEW HAVEN, CT",,1.39
HOT TEA - LARGE,L'ORCIO,"NEW HAVEN, CT",,1.79
