name,restaurant_name,identifier,calories,price_usd
JOHNNY UTAH - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,12.00
DA KINE - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,13.00
HULA - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,11.00
THE DUKE - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,13.50
THE SHAKA - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,10.00
HIGH TIDE - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,11.50
CHICKEN | BUILD YOUR OWN POKE BOWL - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,9.00
SALMON | BUILD YOUR OWN POKE BOWL - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,11.50
TUNA | BUILD YOUR OWN POKE BOWL - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,11.50
SHRIMP | BUILD YOUR OWN POKE BOWL - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,10.00
SQUID SALAD | BUILD YOUR OWN POKE BOWL - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,11.50
VEGETARIAN | BUILD YOUR OWN POKE BOWL - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,8.50
HALF & HALF | BUILD YOUR OWN POKE BOWL - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,12.00
SPICY KANI SALAD - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,4.00
SEAWEED SALAD - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,4.00
MOCHI ICE CREAM - 2 PIECES - 2 PIECES,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,3.50
MOCHI ICE CREAM - 3 PIECES - 3 PIECES,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,5.00
BOTTLED WATER - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,1.00
COCA COLA - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,2.25
FANTA ORANGE - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,2.25
SPRITE - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,2.25
DIET COKE - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,2.25
GOLDPEAK SWEET TEA - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,2.25
GOLDPEAK UNSWEET TEA - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,2.25
MINUTE MAID LEMONADE - REGULAR,MARINATE RESTAURANT,"WEST HOLLYWOOD, CA",,2.25
