name,restaurant_name,identifier,calories,price_usd
HOUSE SALAD - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,5.00
SHRIMP BASKET - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,13.50
FRIED ONION RINGS - SMALL,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,3.00
FRIED ONION RINGS - LARGE,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,5.00
RICE BOWL - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,13.50
HOT DOG SLIDER - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,3.00
CHICKEN SANDWICH - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,6.50
PORK CHOP SANDWICH - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,6.00
FRIED OYSTER BASKET - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,13.50
PORK - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,3.25
CHICKEN - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,3.50
SHRIMP TACO - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,4.50
WHOLE WING - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,2.00
DRUMSTICK - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,2.00
BREAST - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,3.25
CHICKEN TENDERS - 3 TENDERS,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,7.50
CHICKEN TENDERS - 6 TENDERS,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,12.50
CHICKEN NUGGETS - 6 NUGGETS,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,5.00
CHICKEN NUGGETS - 12 NUGGETS,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,9.00
WINGS - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,1.50
3 PC. CHICKEN - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,7.00
6 PC. CHICKEN - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,12.50
9 PC. CHICKEN - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,18.00
THIGH - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,2.25
NUGGETS - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,4.50
GRILLED CHEESE SANDWICH - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,4.50
PULLED PORK SANDWICH - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,4.50
PULLED CHICKEN SANDWICH - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,4.50
MAC & CHEESE - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,3.00
FRIES - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,3.00
JASMINE RICE - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,3.00
STEAMED VEGGIES - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,3.00
SAUTEED VEGGIES - REGULAR,MAYNARD'S RESTAURANT,"CHOWNOW, SILVERDALE, WA",,3.00
