name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,0.00
FRESH GUACAMOLE - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,9.99
CHICKEN TAQUITOS - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,11.99
QUESADILLAS - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,12.99
MEXICAN PIZZA - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,11.99
CHICKEN WINGS - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,12.49
CARNE ASADA QUESADILLA - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,18.99
CAMARONES AL GUSTO - HALF LB,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,18.49
CAMARONES AL GUSTO - FULL LB,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,24.49
SUPER NACHOS BLANCOS - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,12.99
CHEESE CRISPI - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,8.99
QUESO DIP & CHIPS - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,8.99
SUPER NACHOS - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,12.99
STREET TACOS - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,9.99
ASADA FRIES - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,9.99
TACO SALAD - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,11.49
FIESTA SALAD - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,12.99
ANGUS STEAK SALAD - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,13.99
DELUXE TOSTADA - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,11.99
FAJITA SALAD - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,13.99
SHRIMP SALAD - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,13.99
CHICKEN TORTILLA SOUP - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,11.99
CHALUPA - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,11.79
HAMBURGER - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,11.99
DELUXE BURGER SANDWICH - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,13.99
POLLO BURGER SANDWICH - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,12.99
CHICKEN FAJITAS - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,19.99
BEEF FAJITAS - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,19.99
ADOBADA PORK FAJITAS - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,19.49
FAJITA MIXTA - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,20.49
"FAJITA MIXTA - TRIO (CHICKEN, STEAK & PRAWN)",MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,24.99
CAMARONES FAJITAS - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,21.49
CARNE ASADA FAJITAS - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,22.99
CARNE ASADA BURRITO - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,19.99
BURRITO FAJITAS - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,19.99
DELUXE BURRITO MANADERO - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,14.99
BURRITOS MAZATLAN - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,13.99
BEAN & BEEF BURRITO - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,13.99
DELUXE BURRITO MANADERO ENCHILADA - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,14.99
ENCHILADA - ONE ENCHILADA,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,12.49
ENCHILADA - TWO ENCHILADA,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,13.49
DELUXE ENCHILADA GRANDE - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,14.99
TWO ENCHILADAS VERDES - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,14.49
TWO ENCHILADAS MOLE - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,14.49
TWO ENCHILADAS A LA CREMA - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,14.49
SEAFOOD CHIMICHANGA - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,17.49
CHIMICHANGA - REGULAR,MAZATLAN RESTAURANT,"CHOWNOW, PUYALLUP, WA",,14.99
