name,restaurant_name,identifier,calories,price_usd
ACAI - SMALL,MINI BITES FACTORY,"WATERBURY, CT",,8.99
ACAI - BIG,MINI BITES FACTORY,"WATERBURY, CT",,12.99
DRINK´S - COCA COLA CAN,MINI BITES FACTORY,"WATERBURY, CT",,1.60
DRINK´S - FANTA CAN,MINI BITES FACTORY,"WATERBURY, CT",,1.60
DRINK´S - SPRIT CAN,MINI BITES FACTORY,"WATERBURY, CT",,1.60
DRINK´S - COCA ZERO CAN,MINI BITES FACTORY,"WATERBURY, CT",,1.60
DRINK´S - CANADA DRY CAN,MINI BITES FACTORY,"WATERBURY, CT",,1.60
DRINK´S - GUARANA ANTARTICA CAN,MINI BITES FACTORY,"WATERBURY, CT",,1.60
DRINK´S - MATE COURO 350 ML,MINI BITES FACTORY,"WATERBURY, CT",,1.60
DRINK´S - RED BULL 250 ML,MINI BITES FACTORY,"WATERBURY, CT",,2.99
DRINK´S - COCA COLA 600 ML,MINI BITES FACTORY,"WATERBURY, CT",,2.30
DRINK´S - COCA COLA 2 LIT.,MINI BITES FACTORY,"WATERBURY, CT",,3.50
DRINK´S - FANTA 2 LIT.,MINI BITES FACTORY,"WATERBURY, CT",,3.50
DRINK´S - MATE COURO 2 LIT.,MINI BITES FACTORY,"WATERBURY, CT",,3.80
DRINK´S - GUARANA ANTARTICA 2 LIT.,MINI BITES FACTORY,"WATERBURY, CT",,3.99
4 CHEESE BALLS / 4 QUEIJOS - 15 UNITS,MINI BITES FACTORY,"WATERBURY, CT",,3.99
4 CHEESE BALLS / 4 QUEIJOS - 25 UNITS,MINI BITES FACTORY,"WATERBURY, CT",,6.99
4 CHEESE BALLS / 4 QUEIJOS - 50 UNITS,MINI BITES FACTORY,"WATERBURY, CT",,11.99
4 CHEESE BALLS / 4 QUEIJOS - 100 UNITS,MINI BITES FACTORY,"WATERBURY, CT",,20.99
4 CHEESE W/ CORN // 4 QUEIJOS C/ MILHO - 15 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,3.99
4 CHEESE W/ CORN // 4 QUEIJOS C/ MILHO - 25 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,6.99
4 CHEESE W/ CORN // 4 QUEIJOS C/ MILHO - 50 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,11.99
4 CHEESE W/ CORN // 4 QUEIJOS C/ MILHO - 100 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,20.99
4 QUEIJOS C/ CALABRESA / SMOKED SAUSAGE W/ 4 CHEESE - 15 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,3.99
4 QUEIJOS C/ CALABRESA / SMOKED SAUSAGE W/ 4 CHEESE - 25 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,6.99
4 QUEIJOS C/ CALABRESA / SMOKED SAUSAGE W/ 4 CHEESE - 50 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,11.99
4 QUEIJOS C/ CALABRESA / SMOKED SAUSAGE W/ 4 CHEESE - 100 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,20.99
COXINHA  BUFFALO// CHICKEN W/ BUFFALO SAUCE - 15 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,3.99
COXINHA  BUFFALO// CHICKEN W/ BUFFALO SAUCE - 25 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,6.99
COXINHA  BUFFALO// CHICKEN W/ BUFFALO SAUCE - 50 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,11.99
COXINHA  BUFFALO// CHICKEN W/ BUFFALO SAUCE - 100 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,20.99
COXINHA / PLAIN CHICKEN - 15 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,3.99
COXINHA / PLAIN CHICKEN - 25 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,6.99
COXINHA / PLAIN CHICKEN - 50 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,11.99
COXINHA / PLAIN CHICKEN - 100 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,20.99
KIBE - 15 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,3.99
KIBE - 25 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,6.99
KIBE - 50 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,11.99
KIBE - 100 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,20.99
PIZZA FLAVOR - 15 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,3.99
PIZZA FLAVOR - 25 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,6.99
PIZZA FLAVOR - 50 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,11.99
PIZZA FLAVOR - 100 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,20.99
CARAMEL CHURROS ( DOCE DE LEITE) - 15 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,3.99
CARAMEL CHURROS ( DOCE DE LEITE) - 25 PIECES,MINI BITES FACTORY,"WATERBURY, CT",,6.99
