name,restaurant_name,identifier,calories,price_usd
AAM PALAK CHAAT - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,7.25
CHAAT PAPDI - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,6.00
CHICKEN TIKKA CHAAT - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,8.00
DAHI BATATA PURI - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,5.50
PANI PURI - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,5.50
SAMOSA CHAAT - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,6.49
FALAFEL KATI ROLL - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,6.15
PANEER TIKKA KATI ROLL - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,7.75
CHICKEN TIKKA KATI ROLL - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,7.75
LAMB SEEKH KABOB KATI ROLL - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,8.25
GOBHI MANCHURIAN KATI ROLL - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,6.99
BHEL PURI - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,4.99
SAMOSA PAV - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,6.95
SPICY PAV BHAJI - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,6.99
VEGETABLE BIRYANI - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,11.95
BONELESS CHICKEN BIRYANI - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,13.95
SHRIMP BIRYANI - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,16.95
BONELESS LAMB BIRYANI - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,16.50
YOUNG GOAT BIRYANI - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,16.95
VEGETABLE KORMA - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,11.95
PANEER MAKHANI - REGULAR,"MOJO'S WINGS, BURGERS, BEER","LAKELAND, FL",,12.50
