name,restaurant_name,identifier,calories,price_usd
INSALATA MISTA - REGULAR,MONTESACRO,"OAKLAND, CA",,10.75
INSALATA DI POLIPO - REGULAR,MONTESACRO,"OAKLAND, CA",,14.75
BURRATA CON BROCCOLINI - REGULAR,MONTESACRO,"OAKLAND, CA",,13.75
SOTT'OLI - REGULAR,MONTESACRO,"OAKLAND, CA",,11.00
PORCHETTA - REGULAR,MONTESACRO,"OAKLAND, CA",,13.75
POLPETTE AL SUGO - REGULAR,MONTESACRO,"OAKLAND, CA",,13.75
CARPACCIO DI BRESAOLA - REGULAR,MONTESACRO,"OAKLAND, CA",,14.75
ZUPPA DI LENTICCHIE - REGULAR,MONTESACRO,"OAKLAND, CA",,11.75
CROCHETTE DI PATATE & NDUJA - REGULAR,MONTESACRO,"OAKLAND, CA",,8.00
SUPPLI - REGULAR,MONTESACRO,"OAKLAND, CA",,10.75
CARBONARA - REGULAR,MONTESACRO,"OAKLAND, CA",,15.75
CACIO E PEPE - REGULAR,MONTESACRO,"OAKLAND, CA",,14.75
GNOCCHI AL RAGU - REGULAR,MONTESACRO,"OAKLAND, CA",,16.75
AMATRICIANA - REGULAR,MONTESACRO,"OAKLAND, CA",,15.75
SPAGHETTI ALLE MELANZANE - REGULAR,MONTESACRO,"OAKLAND, CA",,15.75
SPAGHETTI AL POMODORO - REGULAR,MONTESACRO,"OAKLAND, CA",,14.75
GNOCCHI AL PESTO - REGULAR,MONTESACRO,"OAKLAND, CA",,15.75
EGGPLANT PARMIGIANA - REGULAR,MONTESACRO,"OAKLAND, CA",,14.75
BEEF LASAGNA - REGULAR,MONTESACRO,"OAKLAND, CA",,15.75
MARGHERITA PINSA - REGULAR,MONTESACRO,"OAKLAND, CA",,15.75
MARANELLA PINSA - REGULAR,MONTESACRO,"OAKLAND, CA",,17.75
SAN LORENZO PINSA - REGULAR,MONTESACRO,"OAKLAND, CA",,15.75
CENTOCELLE PINSA - REGULAR,MONTESACRO,"OAKLAND, CA",,17.75
CASAL BERTONE PINSA - REGULAR,MONTESACRO,"OAKLAND, CA",,16.75
TORVAJANICA PINSA - REGULAR,MONTESACRO,"OAKLAND, CA",,16.75
TOR DI QUINTO PINSA - REGULAR,MONTESACRO,"OAKLAND, CA",,15.75
INFERNETTO PINSA - REGULAR,MONTESACRO,"OAKLAND, CA",,16.75
POLLO CON PEPERONI - REGULAR,MONTESACRO,"OAKLAND, CA",,19.75
TIRAMISU - REGULAR,MONTESACRO,"OAKLAND, CA",,7.75
PANNACOTTA XVOO - REGULAR,MONTESACRO,"OAKLAND, CA",,7.75
