name,restaurant_name,identifier,calories,price_usd
BONELESS WINGS - 1/2 LB,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,9.99
BONELESS WINGS - 1 LB,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,16.99
CLASSIC WINGS - 6 WINGS,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,9.99
CLASSIC WINGS - 12 WINGS,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,18.99
CLASSIC WINGS - 24 WINGS,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,32.99
GARDEN SALAD - REGULAR,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,6.99
HAM CLIFF HANGER SANDWICH - REGULAR,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,7.99
LOUISIANA-STYLE HOT SAUSAGE CLIFF HANGER SANDWICH - REGULAR,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,7.99
SALAMI CLIFF HANGER SANDWICH - REGULAR,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,7.99
CALZONE - REGULAR,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,9.99
CHEESE PIZZA | MINI 6 INCH  - REGULAR,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,7.99
PEPPERONI PIZZA | MINI 6 INCH  - REGULAR,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,7.99
CHEESE PIZZA | SMALL 10 INCH  - REGULAR,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,13.99
PEPPERONI PIZZA | SMALL 10 INCH  - REGULAR,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,13.99
CHEESE PIZZA | MEDIUM 12 INCH  - REGULAR,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,19.99
PEPPERONI PIZZA | MEDIUM 12 INCH  - REGULAR,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,19.99
CHEESE PIZZA | LARGE 14 INCH  - REGULAR,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,24.99
PEPPERONI PIZZA | LARGE 14 INCH  - REGULAR,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,24.99
CHEESE PIZZA | MOUNTAIN 20 INCH  - REGULAR,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,37.99
PEPPERONI | MOUNTAIN 20 INCH  - REGULAR,MOUNTAIN MIKES PIZZA,"ROSEVILLE, CA",,37.99
