name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,0.00
MAKE AT HOME PIZZA KIT - REGULAR,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,13.00
FRIED CHEESE CURDS - REGULAR,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,8.50
GUAC & CHIPS - REGULAR,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,8.00
BAVARIAN PRETZEL - REGULAR,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,8.00
"BBQ, CHEDDAR & BACON BURGER - REGULAR",MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,14.50
BIG MICK BURGER - REGULAR,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,14.00
THE BEYOND BURGER - REGULAR,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,14.00
PIZZA BURGER - REGULAR,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,13.50
THE RIOT - REGULAR,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,14.00
THAT'S MY JAM BURGER - REGULAR,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,14.50
GRILLED CHEESE - REGULAR,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,13.50
IT AIN'T AVOCADO TOAST BURGER - REGULAR,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,13.50
FRIED CHICKEN SANDWICH - REGULAR,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,14.00
HOUSE SALAD - LARGE,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,10.00
HOUSE SALAD - SMALL,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,5.00
CHOPPED SALAD - REGULAR,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,12.00
SOUTHWESTERN SALAD - REGULAR,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,14.00
ALEISTER IPA - CAN - 6 PACK,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,7.00
ALEISTER IPA - CAN - CASE - 24 PACK,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,24.00
SPEAKERSWAGON PILSNER - CAN - 6 PACK,MR.SUSHI,"CHOWNOW, ASHEVILLE, NC",,8.00
