name,restaurant_name,identifier,calories,price_usd
REGULAR BOWL - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,11.99
LARGE BOWL - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,13.99
10 PIECE | WINGS - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,11.25
15 PIECE | WINGS - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,16.25
30 PIECE | WINGS - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,31.25
5 PIECE | WINGS - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,6.25
50 PIECE | WINGS - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,51.25
FOUNTAIN DRINK - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,1.99
MILK TEA - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,4.49
THAI ICED TEA - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,4.49
CARAMEL MILK TEA - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,4.49
MATCHA MILK - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,4.49
TARO MILK - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,4.49
BLACK SESAME ICED LATTE - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,4.49
BOTTLED FANTA - ORANGE - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,2.99
BUTTERMILK BITES - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,4.99
EXTRA WING DIPPING SAUCE - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,0.50
SIDE OF BROWN RICE - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,2.75
SIDE OF FRIES - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,1.49
SIDE OF WHITE RICE - REGULAR,NANI POKE AND WINGS - SAN BERNARDINO,"SAN BERNARDINO, CA",,2.75
