name,restaurant_name,identifier,calories,price_usd
FRIED CHICKEN & WAFFLES - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,16.95
COUNTRY FRIED STEAK & EGGS - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,14.95
HUEVOS RANCHEROS - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.45
LOX PLATE - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,14.25
NEIGHBARISTA BREAKFAST COMBO! - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,12.25
BISTRO BREAKFAST SANDWICH - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,12.25
PREMIUM BREAKFAST BURRITO - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,11.95
JUST THE EGGS - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,10.95
BACON & EGGS - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,12.95
TURKEY BACON & EGGS - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,12.95
PORK LINK SAUSAGE & EGGS - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,12.95
TURKEY LINK SAUSAGE & EGGS - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,12.95
BEEF PATTY & EGGS - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,12.95
HAM STEAK & EGGS - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.25
"BISCUITS, GRAVY & EGGS - REGULAR",NEIGHBARISTA,"NEWHALL, CA",,13.25
PASTRAMI & EGGS - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.95
HOMEMADE CORNED BEEF HASH & EGGS - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.75
CHORIZO & EGGS - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.75
SOY CHORIZO & EGGS - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.75
DENVER OMELETTE - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.25
GRILLED FRESH VEGGIES OMELETTE - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.95
"FRESH SPINACH, MUSHROOM & TOMATO OMELETTE - REGULAR",NEIGHBARISTA,"NEWHALL, CA",,13.25
MEXICAN OMELETTE - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.95
CALIFORNIA CLUB OMELETTE - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,14.25
TRADITIONAL BENNY - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.95
CALI BENNY - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.95
CHIPOTLE BENNY - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.95
SALMON BENNY - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,14.95
PORK BELLY BENNY - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,15.25
EGGS FLORENTINE - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.75
SWEET CREPES - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,11.95
SAVORY CREPES - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.95
BREAKFAST CREPES - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.95
BREAKFAST BOWL - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.95
PORK BELLY BOWL - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,14.25
LOCO MOCO BOWL - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.95
SKINNY BOWL - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.25
CHICKEN TERIYAKI BOWL - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.95
FRENCH TOAST - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,10.95
PANCAKE SHORT STACK - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,8.95
FLAKY FRENCH TOAST - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,12.95
HORCHATA FRENCH TOAST - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.95
BELGIAN WAFFLE - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,8.95
CHURRO WAFFLE - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,12.95
OATMEAL WITH RAISINS OR SLICED BANANA - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,5.95
RAISIN BRAN - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,3.75
CORN FLAKES - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,3.75
CHEERIOS - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,3.75
SEASONAL FRUIT - CUP,NEIGHBARISTA,"NEWHALL, CA",,3.50
SEASONAL FRUIT - BOWL,NEIGHBARISTA,"NEWHALL, CA",,4.95
HALF GRAPEFRUIT - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,2.95
PLAIN YOGURT - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,3.95
HASH BROWNS - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,2.95
BACON (4) - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,4.95
HOME POTATOES - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,3.25
SAUSAGE (2) - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,4.95
COTTAGE FRIES - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,3.25
COTTAGE CHEESE - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,3.25
SLICED TOMATO - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,2.95
FRUIT BOWL OR CUP - BOWL,NEIGHBARISTA,"NEWHALL, CA",,5.95
FRUIT BOWL OR CUP - CUP,NEIGHBARISTA,"NEWHALL, CA",,3.95
FRESH SALSA - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,2.95
AVOCADO - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,2.25
TOAST - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,2.95
BAGEL - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,2.95
NEIGHBORLY SOUP OF THE DAY! - CUP,NEIGHBARISTA,"NEWHALL, CA",,4.95
NEIGHBORLY SOUP OF THE DAY! - BOWL,NEIGHBARISTA,"NEWHALL, CA",,5.95
NEIGHBORLY SOUP OF THE DAY! - 32OZ TO-GO,NEIGHBARISTA,"NEWHALL, CA",,8.95
COBB SALAD - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.95
CHEF SALAD - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.45
CHINESE CHICKEN SALAD - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.95
VEGETARIAN SALAD - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,12.75
CAESAR SALAD - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,12.95
CHEESEBURGER - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,11.75
BACON BLEUBURGER - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,12.95
AVOCADO BACON BURGER - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.95
MUSHROOM SWISS BURGER - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,13.75
SLICED PASTRAMI SANDWICH - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,11.95
SLICED HAM SANDWICH - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,10.95
SLICED SALAMI SANDWICH - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,10.75
TUNA SALAD SANDWICH - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,10.95
EGG SALAD SANDWICH - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,10.95
GRILLED CHEESE - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,8.95
THE CLUB - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,12.95
B.L.T. - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,9.95
THE VEGETARIAN SANDWICH - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,11.95
PATTY MELT - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,12.95
TUNA MELT - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,12.95
THE HALF-SANDWICH SPECIAL - REGULAR,NEIGHBARISTA,"NEWHALL, CA",,9.95
