name,restaurant_name,identifier,calories,price_usd
THE DELI MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,12.99
SLOPPY JOE MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,10.99
#1 ORIGINAL MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,8.99
#2 MAMA'S MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,9.99
#3 LOADED BAKED POTATO MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,11.99
#4 POPEYE MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,9.99
#5 JALAPENO POPPER MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,9.99
#6 HANGOVER MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,11.99
#7 CHICKEN BACON RANCH MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,11.99
#8 BUFFALO CHICKEN MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,10.99
#9 MEMPHIS MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,10.99
#10 CHEESEBURGER MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,10.99
#11 TACO MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,10.99
#12 CHIPOTLE CHICKEN MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,10.99
#13 VEGGIE MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,11.99
#14 CARNITAS MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,11.99
#15 BBQ CHICKEN MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,10.99
#16 HAM & BROCCOLI MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,10.99
#17 PHILLY MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,11.99
#18 THREE LITTLE PIGGIES MAC - MAC DADDY,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,11.99
THE DELI MAC - REGULAR,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,9.99
SLOPPY JOE MAC - REGULAR,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,8.99
#1 ORIGINAL MAC - REGULAR,NORTHERN TAP HOUSE,"CHOWNOW, EAU CLAIRE, WI",,6.99
