name,restaurant_name,identifier,calories,price_usd
"SUNDAY | 10 PIECE SWAI, PERCH, TILAPIA OR WHITING - REGULAR",NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,28.99
SUNDAY | 50 PIECE WHOLE WING - REGULAR,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,58.99
SUNDAY | 50 PIECE WING DINGS - REGULAR,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,37.99
WHOLE WINGS - 3 PIECE (1/2 LB.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,4.99
WHOLE WINGS - 4 PIECE,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,5.99
WHOLE WINGS - 5 PIECE (1 LB.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,6.99
WHOLE WINGS - 6 PIECE,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,7.99
WHOLE WINGS - 10 PIECE (2 LBS.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,13.99
WHOLE WINGS - 20 PIECE (4 LBS.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,25.99
WHOLE WINGS - 30 PIECE (6 LBS.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,38.99
WHOLE WINGS - 50 PIECE (10 LBS.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,58.99
LEGS & THIGHS - 3 PIECE (1/2 LB.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,3.99
LEGS & THIGHS - 4 PIECE,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,4.99
LEGS & THIGHS - 5 PIECE (1 LB.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,5.99
LEGS & THIGHS - 6 PIECE,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,6.99
LEGS & THIGHS - 10 PIECE (2 LBS.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,9.99
LEGS & THIGHS - 20 PIECE (4 LBS.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,19.99
LEGS & THIGHS - 30 PIECE (6 LBS.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,29.99
LEGS & THIGHS - 50 PIECE (10 LBS.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,49.99
TENDERS - 3 PIECE (1/2 LB.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,5.99
TENDERS - 4 PIECE,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,7.99
TENDERS - 5 PIECE (1 LB.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,9.99
TENDERS - 6 PIECE,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,11.99
TENDERS - 10 PIECE (2 LBS.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,18.99
TENDERS - 20 PIECE (4 LBS.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,39.99
TENDERS - 30 PIECE (6 LBS.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,58.99
WING DINGS (10 PCS) - REGULAR,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,8.99
WING DINGS (20 PCS) - REGULAR,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,16.99
WING DINGS (30 PCS) - REGULAR,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,24.99
WING DINGS (50 PCS) - REGULAR,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,38.99
WING DINGS (75 PCS) - REGULAR,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,57.99
WING DINGS (100 PCS) - REGULAR,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,69.99
WING DINGS (15 PCS.) - REGULAR,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,13.99
WING DING DEAL (6 PCS) - REGULAR,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,7.99
WING DING DEAL (10 PCS.) - REGULAR,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,11.99
WING DING DEAL (12 PCS.) - REGULAR,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,14.99
WING DING DEAL (15 PCS.) - REGULAR,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,15.99
WING DING DEAL (20 PCS.) - REGULAR,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,19.99
CHICKEN TENDERS DEAL - SMALL | 4 PIECE,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,9.99
CHICKEN TENDERS DEAL - LARGE | 5 PIECE,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,11.99
CHICKEN DEAL | DARK MEAT - SMALL | 3 PIECE,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,6.99
CHICKEN DEAL | DARK MEAT - LARGE | 6 PIECE,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,9.99
WHOLE WINGS DEAL - 3 PIECE (1/2LB.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,6.99
WHOLE WINGS DEAL - 4 PIECE,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,7.99
WHOLE WINGS DEAL - 5 PIECE (1 LB.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,8.99
WHOLE WINGS DEAL - 6 PIECE,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,9.99
WHOLE WINGS DEAL - 10 PIECE (2 LB.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,15.99
TRAY NO.1 - REGULAR,NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,29.99
CATFISH NUGGETS DINNER - REGULAR (8 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,9.99
CATFISH NUGGETS DINNER - LARGE (12 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,11.99
JUMBO SHRIMP DINNER - REGULAR (7 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,10.99
JUMBO SHRIMP DINNER - LARGE (16 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,19.99
LARGE SHRIMP DINNER - REGULAR (16 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,10.99
LARGE SHRIMP DINNER - LARGE (32 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,17.99
OCEAN PERCH DINNER - REGULAR (2 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,8.99
OCEAN PERCH DINNER - LARGE (3 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,9.99
TILAPIA DINNER - REGULAR (2 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,8.99
TILAPIA DINNER - LARGE (3 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,9.99
WHITING DINNER - REGULAR (2 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,8.99
WHITING DINNER - LARGE (3 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,9.99
COD DINNER - REGULAR (2 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,10.99
COD DINNER - LARGE (3 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,11.99
SWAI FILLET DINNER - REGULAR (2 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,9.99
SWAI FILLET DINNER - LARGE (3 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,10.99
FARM RAISE CATFISH - REGULAR (2 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,11.99
FARM RAISE CATFISH - LARGE (3 PC.),NU WAVE FISH & CHICKEN,"CHOWNOW, YPSILANTI, MI",,12.99
