name,restaurant_name,identifier,calories,price_usd
6 WINGS - REGULAR,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,9.00
12 WINGS - REGULAR,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,16.00
24 WINGS - REGULAR,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,28.00
HOUSE SALAD - SMALL,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,6.00
HOUSE SALAD - LARGE,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,8.00
CAPRESE SALAD - SMALL,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,7.00
CAPRESE SALAD - LARGE,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,9.00
CHICKEN BACON RANCH SUB - REGULAR,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,11.50
COLD CUT SUB - REGULAR,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,11.50
MEATBALL SUB - REGULAR,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,11.50
PHILLY CHEESE STEAK SUB - REGULAR,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,12.50
VEGGIE SUB - REGULAR,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,11.50
CLASSIC CALZONE - REGULAR,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,12.50
PHILLY CHEESE STEAK CALZONE - REGULAR,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,14.50
"BUILD YOUR OWN PIZZA | 20 INCH  EXTRA LARGE - 20""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,21.00
"BUILD YOUR OWN PIZZA | 18 INCH  LARGE - 18""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,19.00
"BUILD YOUR OWN PIZZA | 16 INCH  MEDIUM - 16""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,17.00
"BUILD YOUR OWN PIZZA | 14 INCH  SMALL - 14""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,15.00
"BUILD YOUR OWN PIZZA | GLUTEN FREE - 9""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,10.00
"BUILD YOUR OWN PIZZA | GLUTEN FREE - 14""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,15.00
CHEESE PIZZA | 14 INCH  SMALL - REGULAR,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,15.00
"CHEESE PIZZA | GLUTEN FREE - 9""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,10.00
"CHEESE PIZZA | GLUTEN FREE - 14""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,15.00
CHEESE PIZZA | 16 INCH  MEDIUM - REGULAR,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,17.00
CHEESE PIZZA | 18 INCH  LARGE - REGULAR,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,19.00
CHEESE PIZZA | 20 INCH  EXTRA LARGE - REGULAR,NY PIZZERIA EUCLID,"SAN DIEGO, CA",,21.00
"BBQ CHICKEN PIZZA - 14""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,18.00
"BUFFALO CHICKEN PIZZA - 14""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,19.00
"CHICKEN BACON RANCH PIZZA - 14""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,19.00
"GREEK PIZZA - 14""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,19.00
"HAWAIIAN PIZZA - 14""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,19.00
"MARGHERITA PIZZA - 14""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,19.00
"MEAT PIZZA - 14""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,19.00
"NEAPOLITAN PIZZA - 14""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,19.00
"ROBERT'S 5 CHEESE PIZZA - 14""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,19.00
"SUPREME PIZZA - 14""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,19.00
"VEGGIE PIZZA - 14""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,19.00
"WHITE STONE PIZZA - 14""",NY PIZZERIA EUCLID,"SAN DIEGO, CA",,19.00
