name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,0.00
CHECKERED PIG BREAKFAST - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,5.99
BISCUITS N' GRAVY - ONE BISCUIT,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,4.79
BISCUITS N' GRAVY - TWO BISCUITS,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,6.49
OMELETS N' SCRAMBLES - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,7.39
SUNSHINE BREAKFAST - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,5.99
THE PIGOUT - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,10.29
BUTTER BISCUIT - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.09
COUNTRY HAM BISCUIT - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,3.09
SAUSAGE BISCUIT - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,2.29
BACON BISCUIT - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,2.29
CHICKEN BISCUIT - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,3.89
"BACON, EGG & CHEESE BISCUIT - REGULAR",O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,3.29
SAUSAGE GRAVY BISCUIT - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,2.69
BEEF BRISKET BISCUIT - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,4.95
PIGLET 1 - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,3.49
PIGLET 2 - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,3.89
PIGLET 3 - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,3.29
LISA'S FAVORITE - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,6.29
SCRATCH MADE PANCAKES - SHORT STACK (2),O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,2.59
SCRATCH MADE PANCAKES - FULL STACK (3),O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,3.59
BRIOCHE FRENCH TOAST - 2 SLICES,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,3.89
BRIOCHE FRENCH TOAST - 3 SLICES,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,5.09
EGG SANDWICH PLATE - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,4.49
EGG WHITE SCRAMBLE - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,5.99
FRESH BAKED BUTTERMILK BISCUIT - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.09
COUNTRY HAM - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,2.99
SAUSAGE - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,2.69
BACON - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,2.69
BEEF BRISKET - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,6.59
EGG ANY WAY - 1 EGG,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.09
EGG ANY WAY - 2 EGGS,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.79
TOAST (2) - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.19
PANCAKE - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.79
BOWL OF FRESH FRUIT - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,2.89
OLD-FASHIONED BLT SANDWICH - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,3.99
CREAMY GRITS - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.79
FRIED APPLES - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.79
HASH BROWNS - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.79
PEPPER GRAVY - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.79
SAUSAGE GRAVY - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.79
BANANA (WHOLE) - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.79
SLICED TOMATOES - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.79
SODA - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,2.09
JUICE - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,2.19
MILK - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.59
MILK - LARGE,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,2.49
CHOCOLATE MILK - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,2.29
COFFEE - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.69
HOT CHOCOLATE - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.89
BOTTLED WATER - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.59
HOT SLAW - SINGLE,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,1.49
HOT SLAW - PINT,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,5.59
HOT SLAW - QUART,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,9.79
NACHOS SUPREME | BEEF BRISKET - HALF,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,10.59
NACHOS SUPREME | BEEF BRISKET - FULL,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,14.15
HOMEMADE BANANA PUDDING - REGULAR,O'MALLEY'S IRISH PUB LLC,"CHOWNOW, WOODBURY, MN",,3.19
