name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,0.00
FIRE GRILLED CHICKEN SANDWICH - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,12.59
THREE CHEESE RAVIOLI - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,15.59
STRAWBERRY BABY SPINACH & WILD ARUGULA SALAD - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,12.49
12 WINGS - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,13.20
6 WINGS - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,6.60
CORKSCREW CALAMARI - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,8.49
BROCCOLI CHEDDAR SOUP - CUP,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,4.99
BROCCOLI CHEDDAR SOUP - BOWL,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,8.48
CAESAR SALAD - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,12.49
SEASONAL BERRY & PECAN SALAD - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,12.49
BUILD YOUR OWN BURGER - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,12.49
FIRE GRILLED CHICKEN SANDWICH - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,12.59
BBQ TRI TIP SANDWICH - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,13.49
CRAFT YOUR OWN | FULL PIE - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,11.49
CRAFT YOUR OWN | HALF & HALF - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,11.49
SUPREME PIZZA - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,14.49
VEGGIE PIZZA - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,12.49
BBQ CHICKEN PIZZA - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,14.49
BUILD YOUR OWN BOWL - SMALL,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,11.49
BUILD YOUR OWN BOWL - LARGE,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,14.98
BURRITO - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,11.49
FAJITAS - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,15.99
TACOS - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,12.99
GRILLED RIB EYE STEAK - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,23.79
CEDAR PLANK SALMON - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,20.99
BABY BACK RIBS - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,19.99
SLICE OF BLACK RASPBERRY OMBRE CAKE - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,6.49
SLICE OF BANANA CHOCOLATE SWIRL CAKE - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,6.49
SLICE OF FAMOUS CARROT CAKE - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,6.49
SLICE OF APPLE PIE - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,6.49
BIG CHOCOLATE CHIP COOKIE - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,4.49
SODA - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,3.49
UNSWEETENED ICED TEA - REGULAR,OASIS RESTAURANT & LOUNGE,"FAIRBANKS, AK",,3.49
