name,restaurant_name,identifier,calories,price_usd
BIG ISLAND - ACAI/SMALL,OKINAWA,"CHOWNOW, MARIETTA, GA",,10.00
BIG ISLAND - ACAI/LARGE,OKINAWA,"CHOWNOW, MARIETTA, GA",,12.00
BIG ISLAND - PITAYA/SMALL,OKINAWA,"CHOWNOW, MARIETTA, GA",,10.00
BIG ISLAND - PITAYA/LARGE,OKINAWA,"CHOWNOW, MARIETTA, GA",,12.00
BANANUTTY - ACAI/SMALL,OKINAWA,"CHOWNOW, MARIETTA, GA",,10.00
BANANUTTY - ACAI/LARGE,OKINAWA,"CHOWNOW, MARIETTA, GA",,12.00
BANANUTTY - PITAYA/SMALL,OKINAWA,"CHOWNOW, MARIETTA, GA",,10.00
BANANUTTY - PITAYA/LARGE,OKINAWA,"CHOWNOW, MARIETTA, GA",,12.00
HONI - ACAI/SMALL,OKINAWA,"CHOWNOW, MARIETTA, GA",,10.00
HONI - ACAI/LARGE,OKINAWA,"CHOWNOW, MARIETTA, GA",,12.00
HONI - PITAYA/SMALL,OKINAWA,"CHOWNOW, MARIETTA, GA",,10.00
HONI - PITAYA/LARGE,OKINAWA,"CHOWNOW, MARIETTA, GA",,12.00
MOLOKAI CACAO - ACAI/SMALL,OKINAWA,"CHOWNOW, MARIETTA, GA",,10.75
MOLOKAI CACAO - ACAI/LARGE,OKINAWA,"CHOWNOW, MARIETTA, GA",,12.75
MOLOKAI CACAO - PITAYA/SMALL,OKINAWA,"CHOWNOW, MARIETTA, GA",,10.75
MOLOKAI CACAO - PITAYA/LARGE,OKINAWA,"CHOWNOW, MARIETTA, GA",,12.75
ACAI | BUILD YOUR OWN BOWL - 16OZ. SMALL,OKINAWA,"CHOWNOW, MARIETTA, GA",,10.00
ACAI | BUILD YOUR OWN BOWL - 24OZ. LARGE,OKINAWA,"CHOWNOW, MARIETTA, GA",,12.00
YOGURT PARFAIT | BUILD YOUR OWN BOWL - 16OZ. SMALL,OKINAWA,"CHOWNOW, MARIETTA, GA",,9.00
YOGURT PARFAIT | BUILD YOUR OWN BOWL - 24OZ. LARGE,OKINAWA,"CHOWNOW, MARIETTA, GA",,11.00
PITAYA | BUILD YOUR OWN BOWL - 16OZ. SMALL,OKINAWA,"CHOWNOW, MARIETTA, GA",,10.00
PITAYA | BUILD YOUR OWN BOWL - 24OZ. LARGE,OKINAWA,"CHOWNOW, MARIETTA, GA",,12.00
MAUNA KEA - SNACK,OKINAWA,"CHOWNOW, MARIETTA, GA",,12.00
MAUNA KEA - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,14.00
PINEAPPLE A DAY - SNACK,OKINAWA,"CHOWNOW, MARIETTA, GA",,12.00
PINEAPPLE A DAY - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,14.00
SHAKA BOWL - SNACK,OKINAWA,"CHOWNOW, MARIETTA, GA",,11.00
SHAKA BOWL - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,13.00
SPICY SALMON - SNACK,OKINAWA,"CHOWNOW, MARIETTA, GA",,13.00
SPICY SALMON - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,15.00
HULI HULI BBQ JACKFRUIT BOWL - SMALL,OKINAWA,"CHOWNOW, MARIETTA, GA",,11.00
HULI HULI BBQ JACKFRUIT BOWL - LARGE,OKINAWA,"CHOWNOW, MARIETTA, GA",,13.00
SMALL SIZE | BUILD YOUR POKE BOWL (16OZ) - SMALL,OKINAWA,"CHOWNOW, MARIETTA, GA",,9.00
LARGE SIZE | BUILD YOUR POKE BOWL (24OZ) - LARGE,OKINAWA,"CHOWNOW, MARIETTA, GA",,11.00
TIKI TACOS (3) - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,12.00
CAULI-PUA TACOS - 2 TACOS,OKINAWA,"CHOWNOW, MARIETTA, GA",,12.00
CAULI-PUA TACOS - 3 TACOS,OKINAWA,"CHOWNOW, MARIETTA, GA",,14.00
LAVA ROCK SHRIMP TACOS - 2 TACOS,OKINAWA,"CHOWNOW, MARIETTA, GA",,12.00
LAVA ROCK SHRIMP TACOS - 3 TACOS,OKINAWA,"CHOWNOW, MARIETTA, GA",,15.00
ALOHA SMOOTHIE - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,9.00
CLEAN COMPLEXION SMOOTHIE - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,10.00
COCONUT ISLAND SMOOTHIE - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,9.00
DETOX SMOOTHIE - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,9.00
FIRST WAVE SMOOTHIE - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,9.00
HAPPY HAWAIIAN SMOOTHIE - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,9.00
HILO SMOOTHIE - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,9.00
MAUI MATCHA SMOOTHIE - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,9.00
SUNNY SPIRULINA SMOOTHIE - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,9.00
BUILD YOUR OWN - ONE SIZE 24OZ,OKINAWA,"CHOWNOW, MARIETTA, GA",,9.00
AVOCADO TOAST - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,8.00
PEANUT BUTTER BANANA BREAD - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,7.00
JACKFRUIT EGG & CHEESE TOAST - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,10.00
BREAKFAST BOWL - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,14.00
VEGETARIAN BREAKFAST BOWL - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,13.00
CHICKEN TERIYAKI DUMPLINGS - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,7.00
ZUCCHINI FRIES - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,7.00
CHIPS & GUAC - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,5.00
AVOCADO EGG ROLLS - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,8.00
PROTEIN COOKIES - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,4.00
VEGAN CHOCOLATE CHIP COOKIE - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,4.00
CELERY JUICE - 12OZ,OKINAWA,"CHOWNOW, MARIETTA, GA",,7.49
FRESH HOT COFFEE - SMALL,OKINAWA,"CHOWNOW, MARIETTA, GA",,1.75
FRESH HOT COFFEE - LARGE,OKINAWA,"CHOWNOW, MARIETTA, GA",,2.50
HOT HERBAL TEA - SMALL,OKINAWA,"CHOWNOW, MARIETTA, GA",,1.50
HOT HERBAL TEA - LARGE,OKINAWA,"CHOWNOW, MARIETTA, GA",,2.25
POLAND SPRING 20OZ - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,2.00
LA CROIX - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,1.50
SNAPPLE - REGULAR,OKINAWA,"CHOWNOW, MARIETTA, GA",,2.25
RISE NITROGEN COLD BREW - SMALL,OKINAWA,"CHOWNOW, MARIETTA, GA",,4.50
RISE NITROGEN COLD BREW - LARGE,OKINAWA,"CHOWNOW, MARIETTA, GA",,7.00
