name,restaurant_name,identifier,calories,price_usd
CURBSIDE PICKUP - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,0.00
***FUTURE ORDER!!! - *,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,0.00
$25 OLYMPIANS GIFT CARD - GIFT CARD,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,25.00
$50 OLYMPIANS GIFT CARD - GIFT CARD,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,50.00
$100 OLYMPIANS GIFT CARD - GIFT CARD,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,100.00
PINOT GREGIO - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,18.00
RIESLING - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,18.00
MOSCHOFILERO - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,18.00
MOSCATO D'ASTI - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,18.00
PINOT NOIR - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,18.00
MALBEC - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,18.00
DIONYSOS MERLOT - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,18.00
SANTOR ST. GEORGE - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,18.00
DOMESTIC BEERS - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,5.00
IMPORTED BEERS - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,5.00
GREEK BEERS - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,5.00
"LOCAL BEERS (FAIRWINDS BREWING LORTON, VA.) - .",OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,5.00
PEPSI CAN - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,2.75
GINGER ALE CAN - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,2.75
BOTTLE WATER - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,2.00
GREEK SPARKLING WATER - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,2.50
DIET PEPSI CAN - .,OLYMPIANS FAMILY RESTAURANT,"CHOWNOW, ALEXANDRIA, VA",,2.75
