name,restaurant_name,identifier,calories,price_usd
BLT SALAD - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,12.00
CAJUN CHICKPEA & QUINOA SALAD - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,11.00
FRIED CALAMARI - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,12.00
COCONUT SHRIMP - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,12.00
ISLAND WINGS - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,11.00
WATERMELON & CUCUMBER FRIES - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,8.00
MAHI MAHI TACOS - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,13.00
MANGO CHICKEN SALAD SANDWICH - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,14.00
DOUBLE BACON BURGER - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,14.00
SHIPWRECK - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,16.00
YUCCA FRIES - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,7.00
FRIES - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,6.00
TENDER & FRIES - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,9.00
KIDS SLIDERS - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,9.00
MINI SMORES CONES - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,9.00
DULCE CREAM CHEESE CHIMICHANGA - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,9.00
RED BULL - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,6.00
SOFT DRINK - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,5.00
JUICE - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,6.00
WEST 6TH | IPA - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,10.00
BUD LIGHT - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,8.00
BUDWEISER - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,8.00
COORS LIGHT - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,8.00
MILLER LITE - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,8.00
MICHELOB ULTRA - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,8.00
DOS EQUIS - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,8.00
HEINEKEN - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,8.00
BLUE MOON BELGIAN WHITE - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,10.00
LAGUNITAS DAYTIME | IPA - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,8.00
LEINENKUGEL'S SUMMER SHANDY - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,8.00
SAMUEL ADAMS SEASONAL - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,8.00
WHITE CLAW HARD SELTZER - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,9.00
TRULY HARD SELTZER - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,9.00
KETEL ONE SELTZER VERITY - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,8.00
GREVELY ORIGINAL SIGNATURE - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,8.00
DAY OWL ROSE FRUTY | ITALY - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,12.00
KENDALL-JACKSON CHARDONNAY | CALIFORNIA - REGULAR,OMNI THE WATER COMPANY,"CHOWNOW, LOUISVILLE, KY",,14.00
