name,restaurant_name,identifier,calories,price_usd
CEVICHE - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,13.95
CHOROS A LA CHALACA - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,7.95
PARIHUELA - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,8.95
PARIHUELA - LARGE,ORANGE ROLL & SUSHI,"ORANGE, CA",,13.95
SOPA DE PESCADO - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,7.95
SOPA DE PESCADO - LARGE,ORANGE ROLL & SUSHI,"ORANGE, CA",,11.95
SOPA DE POLLO - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,5.95
SOPA DE POLLO - LARGE,ORANGE ROLL & SUSHI,"ORANGE, CA",,8.95
PAPA A LA HUANCAINA - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,5.95
SALCHIPAPA - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,5.95
ANDEAN QUINOA SALAD - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,7.50
 INCH SOLTERITO INCH  PERUVIAN CHOPPED SALAD - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,7.50
PURPLE CORN SALAD - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,7.50
1/4 PERUVIAN ROTISSERIE CHICKEN | POLLO - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,7.95
1/2 PERUVIAN ROTISSERIE CHICKEN | POLLO - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,11.95
FAMILY STYLE WHOLE PERUVIAN ROTISSERIE CHICKEN - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,20.95
PERUVIAN SHRIMP RICE | ARROZ CON CAMARONES - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,14.45
PESCADO A LO MACHO - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,15.50
FISH FILET IN SHRIMP SAUCE | PESCADO EN SALSA DE CAMARONES - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,14.95
PERUVIAN STYLE SEAFOOD RICE | ARROZ CON MARISCOS - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,15.45
CHICHARRON DE MARISCOS - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,18.50
CHICHARRON DE MARISCOS - FAMILY STYLE JALEA,ORANGE ROLL & SUSHI,"ORANGE, CA",,25.25
LOMO SALTADO - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,13.45
SAUTEED | SALTADO - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,11.50
PERUVIAN FRIED RICE | CHAUFA - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,11.45
SPAGHETTI | TALLARINES VERDES - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,12.95
CHICKEN MILANESE | MILANESA DE POLLO - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,11.95
BISTEC ENCEBOLLADO - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,13.45
SAUTEED SPAGHETTI | TALLARIN SALTADO - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,11.45
ALFAJORES - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,4.45
CREMA VOLTEADA - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,4.95
CREMA VOLTEADA DE MARACUYA - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,5.95
CHURROS - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,5.95
HORCHATA - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,2.95
CHICHA MORADA - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,2.95
HOMEMADE LEMONADE - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,2.95
INCA KOLA - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,1.75
BOTTLED WATER - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,1.50
SPARKLING WATER - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,2.50
ESPRESSO - REGULAR,ORANGE ROLL & SUSHI,"ORANGE, CA",,3.95
