name,restaurant_name,identifier,calories,price_usd
SARANAC ROOT BEER BOTTLE - REGULAR,OREM'S DINER,"WILTON, CT",,3.00
ORANGE FANTA - GLASS BOTTLE 355 ML,OREM'S DINER,"WILTON, CT",,3.00
DIET COKE - 8 OZ GLASS BOTTLE,OREM'S DINER,"WILTON, CT",,2.50
SPRITE - GLASS BOTTLE 355 ML,OREM'S DINER,"WILTON, CT",,3.00
TOPO CHICO SPARKLING WATER - ORIGINAL - 12OZ GLASS,OREM'S DINER,"WILTON, CT",,5.00
TOPO CHICO SPARKLING WATER - GRAPEFRUIT - 12OZ GLASS,OREM'S DINER,"WILTON, CT",,5.00
TOPO CHICO SPARKLING WATER - LIME - 12OZ GLASS,OREM'S DINER,"WILTON, CT",,5.00
SMERALDINA ARTESIAN STILL WATER - 16.9 OZ GLASS BOTTLE,OREM'S DINER,"WILTON, CT",,5.00
RED BULL - REGULAR,OREM'S DINER,"WILTON, CT",,5.00
BUCKET FOR TWO WITH WHOLE LOBSTERS - REGULAR,OREM'S DINER,"WILTON, CT",,85.00
CLAMBAKE BUCKET FOR 2 (TAILS ONLY) - REGULAR,OREM'S DINER,"WILTON, CT",,150.00
BUCKET FOR 4 (TAILS ONLY) - REGULAR,OREM'S DINER,"WILTON, CT",,200.00
CLAMBAKE BUCKET FOR 4 (WHOLE LOBSTERS) - REGULAR,OREM'S DINER,"WILTON, CT",,150.00
STEAMED CLAM BUCKET - REGULAR,OREM'S DINER,"WILTON, CT",,60.00
LOBSTER ROLL KIT COLD (SERVES 4) - SERVES 4,OREM'S DINER,"WILTON, CT",,90.00
LOBSTER ROLL KIT HOT (SERVES FOUR) - SERVES 4,OREM'S DINER,"WILTON, CT",,120.00
SUMMER KICK OFF SPECIAL - REGULAR,OREM'S DINER,"WILTON, CT",,175.00
OYSTERS ON THE HALF SHELL - 12 PIECES,OREM'S DINER,"WILTON, CT",,22.00
OYSTERS ON THE HALF SHELL - 6 PIECES,OREM'S DINER,"WILTON, CT",,11.00
CLAMS ON THE HALF SHELL - 12 PIECES,OREM'S DINER,"WILTON, CT",,14.00
CLAMS ON THE HALF SHELL - 6 PIECES,OREM'S DINER,"WILTON, CT",,7.00
FIRECRACKER CALAMARI - REGULAR,OREM'S DINER,"WILTON, CT",,19.00
FRIED CALAMARI - REGULAR,OREM'S DINER,"WILTON, CT",,17.00
SNOW CRAB LEGS (1LB) - REGULAR,OREM'S DINER,"WILTON, CT",,27.00
BROKEN SNOW CRAB LEGS (BROKEN PIECES) - REGULAR,OREM'S DINER,"WILTON, CT",,30.00
ALASKAN KING CRAB LEGS (1 LB) - REGULAR,OREM'S DINER,"WILTON, CT",,51.00
BAKED CHOPPED CLAMS (4) - REGULAR,OREM'S DINER,"WILTON, CT",,8.00
