name,restaurant_name,identifier,calories,price_usd
PITA WAY BOWL - REGULAR,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,8.99
QUESOPITA - REGULAR,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,7.99
SANDWEECH - REGULAR,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,7.49
PITA WAY BOWL COMBO - REGULAR,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,12.48
QUESOPITA COMBO - REGULAR,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,11.48
SANDWEECH COMBO - REGULAR,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,10.98
CAESAR SALAD - REGULAR,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,5.99
CAESAR SALAD - LARGE,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,7.99
FATTOUSH SALAD - REGULAR,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,5.99
FATTOUSH SALAD - LARGE,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,7.99
GREEK SALAD - REGULAR,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,5.99
GREEK SALAD - LARGE,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,7.99
CUSTOM SALAD - REGULAR,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,5.99
CUSTOM SALAD - LARGE,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,7.99
FALAFEL - REGULAR,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,6.99
CHICKEN LEMON RICE SOUP - BOWL,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,3.99
CURRY RICE STEW - CUP,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,2.99
LENTIL SOUP - BOWL,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,3.99
BABA GHANNOUSH - REGULAR,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,5.99
BABA GHANNOUSH - HALF,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,3.49
BABY SALAD - REGULAR,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,3.49
FRIES - HALF ORDER,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,2.99
FRIES - FULL ORDER,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,3.99
GARLIC SAUCE - HALF ORDER,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,3.49
GARLIC SAUCE - FULL ORDER,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,5.99
HOMMUS - HALF ORDER,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,3.49
HOMMUS - FULL ORDER,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,5.99
PITA CHIPS - SMALL BAG,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,0.50
PITA CHIPS - LARGE BAG,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,1.00
RICE - REGULAR,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,3.99
SPICY BABA GHANNOUSH - REGULAR,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,5.99
SPICY BABA GHANNOUSH - HALF,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,3.49
SPICY HOMMUS - REGULAR,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,5.99
SPICY HOMMUS - HALF,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,3.49
TABBOULI - HALF ORDER,PACIFIC PLACE CENTER (600 PINE ST.),"CHOWNOW, SEATTLE, WA",,3.49
