name,restaurant_name,identifier,calories,price_usd
DINNER COMBO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,14.00
2. TAMAL - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,5.00
3. SOPES - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,7.00
4. TOSTADA DE CEVICHE - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,7.50
7. VIKING NACHOS - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,12.00
8. MINNESOTA NACHOS - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,12.00
11. GUACAMOLE FRESCO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,12.00
6. CHORI-QUESO DIP - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,12.00
57. CALDO DE RES - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,13.00
69. LA TROPA QUESADILLA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,12.00
70. FAJITA QUESADILLA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,13.00
71. VILLA QUESADILLA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,14.00
72. VEGETARIAN QUESADILLA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,11.00
60. AUTHENTIC TACO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,4.50
61. DURAZO TACO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,5.00
62. CAMPECHANOS TACO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,6.00
63. LENGUA TACO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,6.00
64. CAMARON O PESCADO TACO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,6.50
65. FIESTA SALAD TACO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,11.00
66. FAJITA FIESTA SALAD TACO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,12.00
82. EL PELOTON FLAUTAS (3) - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,12.99
82A. EL PELOTON VEGETARIAN FLAUTAS (3) - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,13.00
67. TORTA AHOGADA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,12.00
68. TORTAS - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,13.00
15. ENMOLADAS - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,14.00
16. ENCHILADAS VERDES - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,14.00
16A. ENCHILADAS ROJAS - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,14.00
18. VILLA ENCHILADAS - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,15.00
19. SPINACH ENCHILADAS - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,14.00
79. CHIMICHANGA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,12.00
80. PANCHO CHIMICHANGA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,13.00
81. VILLA CHIMICHANGA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,14.00
73. PERFECT BURRITO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,11.00
86. LOCO BURRITO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,13.50
87. MACHO BURRITO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,13.00
88. TAKIS BURRITO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,13.00
89. EL GORDO BURRITO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,13.00
90. BURRITO BOWL - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,13.00
74. VILLA BURRITO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,12.00
75. FAJITA BURRITO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,13.00
76. DINNER BURRITO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,13.00
77. VEGETARIAN BURRITO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,11.00
78. MINNESOTA BURRITO - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,14.00
32. POLLO O BISTEC FAJITAS - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,16.00
33. MIXED FAJITAS - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,17.00
34. COMBO PANCHO VILLA FAJITA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,18.00
36. VEGETARIAN FAJITA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,14.00
37. FAJITA TOLUCA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,18.00
27. POLLO EN MOLE - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,13.00
28. POLLO EN SALSA CHIPOTLE - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,13.00
29. PECHUGA VILLA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,14.00
21. CARNE ASADA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,15.00
22. FILETE A LA TAMPIQUENA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,17.00
25. MAR Y TIERRA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,18.00
26. BANDEJA PAISA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,17.99
20. PLATO DE CARNITAS - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,14.00
43. MOJARRA - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,18.00
44. CAMARONES - REGULAR,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,17.99
45. COCTEL DE CAMARON - MEDIUM,PANCHO VILLA MEXICAN RESTAURANT,"CHOWNOW, MONTICELLO, MN",,15.00
