name,restaurant_name,identifier,calories,price_usd
SOPA DO DIA - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,7.29
FILÉ DE BACON - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,5.49
FRANGO A PASSARINHO - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,9.99
CARPACCIO DE CARNE - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,9.99
LINGUIÇA COM MANDIOCA - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,10.59
LULA FRITA - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,10.79
APERTIVO - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,12.29
BIFE A MILANESA - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,19.99
BISTECA DE PORCO - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,19.99
BIFE A CAVALO - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,20.99
BIFE ACEBOLADO - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,20.99
ESTROGONOFE DE CARNE - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,20.99
OSWALDO ARANHA - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,21.99
CHURRASCO GAUCHO - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,21.99
FEIJOADA COMPLETA - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,22.79
BIFE A PARMIEGIANA - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,22.79
PICANHA NA GRELHA - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,26.99
FRALDINHA - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,30.99
COSTELA GRELHADA - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,36.99
FILÉ MIGNON AO MOLHO - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,37.99
LINGUADO AO MOLHO DE LIMAO E ALCAPARRA - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,20.99
SALMAO GRELHADO - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,21.79
MOQUECA DE PEIXE COM PIRAO - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,21.99
CAMARAO NA MORANGA - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,21.99
MOQUECA DE CAMARAO - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,21.99
VATAPA - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,21.99
BOBO DE CAMARAO - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,21.99
FILÉ DE PEIXE COM CAMARAO - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,23.79
CAMARAO GRELHADO - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,23.99
BACALHAU ASSADO - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,25.99
BACALHAU A GOMES DE SA - REGULAR,PANFRIDAYS,"LAUDERHILL, FL",,25.99
