name,restaurant_name,identifier,calories,price_usd
FALAFEL - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,4.29
DOLMAS - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,4.29
HUMMUS - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,4.69
BABA GHANOUSH - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,4.99
APPETIZER SAMPLER - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,8.99
TABOULI SALAD - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,5.69
GREEK SALAD - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,5.59
GYRO SALAD - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,7.99
SHAWARMA SALAD - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,7.99
GYRO SANDWICH PLATTER - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,9.99
SHAWARMA SANDWICH PLATTER - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,9.99
FALAFEL SANDWICH PLATTER - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,8.99
GYRO RICE PLATTER - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,9.99
SHAWARMA RICE PLATTER - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,9.99
GYRO SANDWICH - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,7.99
SHAWARMA SANDWICH - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,7.99
FALAFEL SANDWICH - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,5.99
HUMMUS SANDWICH - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,5.79
BABA GHANOUSH SANDWICH - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,5.99
VEGGIE PITA - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,5.00
BAKLAVA - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,3.50
1/2 LB. GYRO MEAT - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,7.99
1/2 LB. CHICKEN - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,8.99
1 LB. GYRO MEAT - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,13.99
1 LB. CHICKEN - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,14.99
1 PITA BREAD - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,1.49
1 CUP OF RICE - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,3.50
TZATZIKI SAUCE - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,0.25
SHAWARMA - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,0.25
FETA CHEESE - REGULAR,PAPU'S CAFE,"CHOWNOW, KANSAS CITY, MO",,0.50
