name,restaurant_name,identifier,calories,price_usd
CURBSIDE (ADD TO CART FOR CURBSIDE PICKUP) - REGULAR,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,0.00
MAKE YOUR OWN JUICE - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.00
MAKE YOUR OWN JUICE - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
G1 - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.00
G1 - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
G2 - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.00
G2 - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
G3 - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.00
G3 - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
G4 - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.00
G4 - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
G5 - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.00
G5 - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
G7 - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
G7 - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,11.00
R1 - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.00
R1 - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
O1 - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.00
O1 - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
O2 - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,8.00
O2 - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.00
O3 - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.00
O3 - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
Y1 - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.00
Y1 - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
Y2 - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.00
Y2 - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
G6 - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.00
G6 - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
S1 - REGULAR,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,4.00
S2 - REGULAR,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,4.00
S3 - REGULAR,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,5.00
S4 - REGULAR,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,5.00
MAKE YOUR OWN SMOOTHIE - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,7.00
MAKE YOUR OWN SMOOTHIE - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,8.00
NEW CHAMANGO - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
NEW CHAMANGO - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,11.00
NEW SHROOM CHOCOLATE PROTEIN - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,11.00
NEW SHROOM CHOCOLATE PROTEIN - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,12.00
THE CLASSIC - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,7.00
THE CLASSIC - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,8.00
BRAZILIAN BOOST - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.00
BRAZILIAN BOOST - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
DRAGON FRUIT BLAST - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,8.50
DRAGON FRUIT BLAST - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.50
PINK CRUSH - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,7.00
PINK CRUSH - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,8.00
MANGO BLISS - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.00
MANGO BLISS - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
VANILLA SUNSET - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.00
VANILLA SUNSET - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
FIT 4 LIFE - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
FIT 4 LIFE - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,11.00
PROTEIN BOMB - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
PROTEIN BOMB - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,11.00
CHOCO CRUNCH - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
CHOCO CRUNCH - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,11.00
MINT CHOCOLATE CHIP - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,9.50
MINT CHOCOLATE CHIP - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.50
KETO POWER - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,11.00
KETO POWER - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,12.00
EPIC GREENS - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
EPIC GREENS - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,11.00
TURMERIC BLAST - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
TURMERIC BLAST - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,11.00
GREEN GODDESS - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,11.00
GREEN GODDESS - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,12.00
BERRY ANTIOXIDANT - 16OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,10.00
BERRY ANTIOXIDANT - 20OZ,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,11.00
BLUE MAJIK - REGULAR,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,11.00
BRAZILIAN BOWL - REGULAR,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,11.00
PROTEIN BOWL - REGULAR,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,14.00
BLISS BOWL - REGULAR,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,15.00
GREEN BOWL - REGULAR,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,15.00
DRAGON BOWL - REGULAR,PARAKEET JUICERY  DEL MAR,"SAN DIEGO, CA",,12.00
