name,restaurant_name,identifier,calories,price_usd
CROWBROOK SUNRISE - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,6.95
HOUSE MADE MUFFINS & SCONES - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,3.25
CROISSANTS - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,2.25
COOKIES - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,2.25
BROWNIES & BARS - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,2.25
THE SANBORN - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,7.75
THE BASIC - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,7.75
THE PATRIOT - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,7.25
THE LARAWAY - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,7.75
THE WRIGHT-LOCKE - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,7.25
THE WINCHESTER - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,7.95
TANDOORI CHICKEN WRAP - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,7.95
THE JENKS - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,7.75
THE MYSTIC - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,7.75
THE GRIFFIN - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,7.25
THE SPOT POND ITALIAN TUNA - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,7.95
DAVID'S EGG SALAD - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,7.95
THE 134 - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,2.34
THE FULLER SALAD - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,7.25
YOGURT PARFAIT - REGULAR,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,4.25
HOMEMADE SOUP - CUP,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,3.95
HOMEMADE SOUP - BOWL,PARKERS BARBECUE,"CHOWNOW, GREENVILLE, NC",,4.25
