name,restaurant_name,identifier,calories,price_usd
SPICY CHEDDAR CHEESE SPREAD - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,6.50
FULL ROUND FAMOUS BREADSTICK - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,5.95
FRIED MOZZARELLA STICKS (6) - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,10.95
GARLIC FRIES - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,4.25
SIDE ORDER OF BREADSTICKS & CHEESE SPREAD - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,2.95
ITALIAN SAUSAGE (1) - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,3.25
FRIED RAVIOLI OR TORTELLINI - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,9.95
FRIED CALAMARI - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,13.95
FRIED ZUCCHINI - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,9.95
PLAIN FRIES - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,3.25
GARLIC BREAD - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,2.95
MEATBALLS (2) - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,4.25
GREEN SALAD - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,5.25
CAESAR SALAD - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,8.95
CHICKEN LINGUINE SALAD - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,12.95
CRAB & SHRIMP SEAFOOD SALAD - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,16.95
COBB SALAD - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,12.95
"WARM PRAWN, SCALLOP & SPINACH SALAD - REGULAR",PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,16.95
ASIAN CHICKEN SALAD - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,12.95
CHICKEN CAESAR SALAD - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,12.95
PASTA & FAGIOLI SOUP - CUP,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,3.95
PASTA & FAGIOLI SOUP - BOWL | 12 OZ,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,5.95
PASTA & FAGIOLI SOUP - PINT | 16 OZ,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,7.95
PASTA & FAGIOLI SOUP - QUART | 32 OZ,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,11.50
MINESTRONE SOUP - CUP,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,3.95
MINESTRONE SOUP - BOWL | 12 OZ,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,5.95
MINESTRONE SOUP - PINT | 16 OZ,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,7.95
MINESTRONE SOUP - QUART | 32 OZ,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,11.50
CLAM CHOWDER - CUP,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,6.25
CLAM CHOWDER - BOWL | 12 OZ,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,9.25
CLAM CHOWDER - PINT | 16 OZ,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,11.25
CLAM CHOWDER - QUART | 32 OZ,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,20.25
HOT VEGETARIAN SANDWICH - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,10.95
ITALIAN SAUSAGE SANDWICH - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,11.95
VEAL PARMIGIANA SANDWICH - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,14.95
NEW YORK STEAK SANDWICH - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,14.95
MEATBALL SANDWICH - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,11.95
CHICKEN PARMIGIANA SANDWICH - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,12.95
GRILLED CHICKEN BREAST ITALIANO SANDWICH - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,12.95
EGGPLANT PARMIGIANA SANDWICH - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,10.95
VEAL PARMIGIANA - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,20.95
CHICKEN PICCATA - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,20.95
CHICKEN SALTIMBOCCA - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,21.95
SEAFOOD CIOPPINO - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,24.95
CHICKEN PARMIGIANA - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,18.95
CHICKEN MARSALA - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,20.95
GRILLED SALMON - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,22.95
GRILLED CHICKEN CALZONE - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,16.95
VEGETARIAN-SPINACH CALZONE - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,16.95
PROSCIUTTO & SALAME CALZONE - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,16.95
DESIGN YOUR OWN CALZONE - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,18.95
INDIVIDUAL PIZZA | 10 INCH  - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,12.95
INDIVIDUAL PIZZA | 10 INCH  (1 TOPPING) - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,14.95
INDIVIDUAL PIZZA | 10 INCH  (2 TOPPING) - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,16.95
MEDIUM PIZZA | 12 INCH  - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,15.95
MEDIUM PIZZA | 12 INCH  (1 TOPPING) - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,17.95
MEDIUM PIZZA | 12 INCH  (2 TOPPING) - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,19.95
LARGE PIZZA | 14 INCH  - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,17.95
LARGE PIZZA | 14 INCH  (1 TOPPING) - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,19.95
LARGE PIZZA | 14 INCH  (2 TOPPING) - REGULAR,PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,21.95
"ALL MEAT COMBO PIZZA | INDIVIDUAL 10 INCH  - INDIVIDUAL | 10""",PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,19.95
"ALL MEAT COMBO PIZZA | LARGE 14 INCH  - LARGE | 14""",PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,25.95
"ALL MEAT COMBO PIZZA | MEDIUM 12 INCH  - MEDIUM | 12""",PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,22.95
"COMBO DELUXE PIZZA | INDIVIDUAL 10 INCH  - INDIVIDUAL | 10""",PASTA MARKET ITALIAN RESTAURANT,"LOS ALTOS, CA",,18.95
