name,restaurant_name,identifier,calories,price_usd
BAKED CLAMS - SMALL,PASTA MIA,"CHOWNOW, BARTLETT, IL",,9.95
BAKED CLAMS - LARGE,PASTA MIA,"CHOWNOW, BARTLETT, IL",,16.95
MUSSELS - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,12.95
STUFFED ARTICHOKE - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,8.95
SAUSAGE & PEPPERS - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,12.95
CALAMARI FRITTI - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,11.95
PETE'S CALAMARI FRITTI - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,12.95
SWEET CHILI CALAMARI - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,12.95
BRUSCHETTA - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,7.95
EGGPLANT STACKS - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,9.95
SAUSAGE CIABATTA - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,13.95
EGGPLANT ROLLS - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,8.95
ARTICHOKE FRITTI - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,8.95
GARLIC BREAD - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,4.50
ONION RINGS - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,6.50
CHEESE STICKS (6) - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,6.95
CHICKEN WINGS - 6 WINGS,PASTA MIA,"CHOWNOW, BARTLETT, IL",,7.95
CHICKEN WINGS - 12 WINGS,PASTA MIA,"CHOWNOW, BARTLETT, IL",,12.95
CHICKEN TENDERS (6) - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,6.95
TOASTED RAVIOLI (10) - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,8.95
BRUSSEL SPROUTS - REGULAR,PASTA MIA,"CHOWNOW, BARTLETT, IL",,12.95
