name,restaurant_name,identifier,calories,price_usd
BLACK OYSTER MUSHROOM - REGULAR,PAULETTE'S,"MEMPHIS, TN",,12.00
LOW COUNTRY CRAB CAKES - REGULAR,PAULETTE'S,"MEMPHIS, TN",,19.00
SMOKED DEVILED EGGS - REGULAR,PAULETTE'S,"MEMPHIS, TN",,12.00
CHEESE BOARD - REGULAR,PAULETTE'S,"MEMPHIS, TN",,14.00
HOUSE SALAD - REGULAR,PAULETTE'S,"MEMPHIS, TN",,8.00
STRAWBERRY ARUGULA SALAD - REGULAR,PAULETTE'S,"MEMPHIS, TN",,11.00
WEDGE SALAD - REGULAR,PAULETTE'S,"MEMPHIS, TN",,10.00
FILET PAULETTE - REGULAR,PAULETTE'S,"MEMPHIS, TN",,46.00
FILET MIGNON - REGULAR,PAULETTE'S,"MEMPHIS, TN",,45.00
GRILLED LAMB CHOPS - REGULAR,PAULETTE'S,"MEMPHIS, TN",,50.00
HERB ROASTED CHICKEN - REGULAR,PAULETTE'S,"MEMPHIS, TN",,26.00
GULF REDFISH WITH CRAB MEAT - REGULAR,PAULETTE'S,"MEMPHIS, TN",,36.00
GRILLED SALMON - REGULAR,PAULETTE'S,"MEMPHIS, TN",,29.00
BASMATI GRITSOTTO - REGULAR,PAULETTE'S,"MEMPHIS, TN",,20.00
SHRIMP & GRITS - REGULAR,PAULETTE'S,"MEMPHIS, TN",,27.00
BEEF TENDERLOIN BURGER - REGULAR,PAULETTE'S,"MEMPHIS, TN",,18.00
POTATOES - REGULAR,PAULETTE'S,"MEMPHIS, TN",,6.00
GRITS - REGULAR,PAULETTE'S,"MEMPHIS, TN",,6.00
VEGETABLE OF THE DAY - REGULAR,PAULETTE'S,"MEMPHIS, TN",,6.00
FRIES - REGULAR,PAULETTE'S,"MEMPHIS, TN",,6.00
POPOVER (1) - REGULAR,PAULETTE'S,"MEMPHIS, TN",,2.00
CHICKEN TENDERS - REGULAR,PAULETTE'S,"MEMPHIS, TN",,7.00
ANGEL HAIR PASTA & GRILLED CHICKEN - REGULAR,PAULETTE'S,"MEMPHIS, TN",,7.00
CHEESEBURGER SLIDERS - REGULAR,PAULETTE'S,"MEMPHIS, TN",,7.00
KAHLUA-MOCHA PARFAIT PIE - REGULAR,PAULETTE'S,"MEMPHIS, TN",,10.00
FRESH STRAWBERRY CREPE - REGULAR,PAULETTE'S,"MEMPHIS, TN",,8.00
KEY LIME PIE - REGULAR,PAULETTE'S,"MEMPHIS, TN",,8.00
PINEAPPLE UPSIDE-DOWN BREAD PUDDING - REGULAR,PAULETTE'S,"MEMPHIS, TN",,8.00
CHOCOLATE DECADENCE - REGULAR,PAULETTE'S,"MEMPHIS, TN",,10.00
