name,restaurant_name,identifier,calories,price_usd
18 INCH  | OLD SCHOOL CHEESE/BYO - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,20.00
18 INCH  | HELLBOY ® - REGULAR (MAX 4 PER ORDER),PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,27.00
18 INCH  | PEPPERONI DOUBLE TROUBLE - REGULAR (MAX 4 PER ORDER),PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,28.00
18 INCH  | MUSTARD PIE - REGULAR (MAX 4 PER ORDER),PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,22.00
18 INCH  | FROM RUSSIA WITH LOVE - REGULAR (MAX 2 PER ORDER),PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,22.00
18 INCH  | NEW SCHOOL VEGAN CHEESE PIE/BYO - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,20.00
18 INCH  | JOHNNY CASHEW VEGAN - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,22.00
18 INCH  | VEGAN MUSTARD PIE - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,22.00
12 INCH  NY-STYLE | OLD SCHOOL CHEESE/BYO - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,11.00
12 INCH  NY-STYLE |  BARRY WHITE - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,15.00
12 INCH  NY-STYLE | CHERRY JONES - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,19.00
12 INCH  NY-STYLE | DANIELA SPINACI - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,15.00
12 INCH  NY-STYLE | HELLBOY ® - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,16.00
12 INCH  NY-STYLE | FROM RUSSIA WITH LOVE - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,16.00
12 INCH  NY STYLE | NEW SCHOOL VEGAN CHEESE/BYO - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,11.00
"12 INCH  NY-STYLE | DOLLOP PARTON - 12""",PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,13.00
12 INCH  NY-STYLE | JOHNNY CASHEW - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,12.00
"12 INCH  NY-STYLE | POPEYE & OLIVE OIL - 12""",PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,14.00
CLOCKWORK ORANGE - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,10.00
GRAPE TO MEETCHA - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,10.00
COCA COLA MEXICAN - 12 OZ,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,3.00
DR. BROWN’S CREAM SODA - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,3.00
DR. BROWN’S BLACK CHERRY - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,3.00
SAN BENEDETTO SPARKLING WATER - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,5.00
CANADA DRY CLUB SODA - 10 OZ,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,3.00
CRUSHED RED PEPPER FLAKES - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,0.00
MIKE’S HOT HONEY DIP CUP - SIDE,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,1.00
CASHEW RICOTTA (4OZ) - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,2.00
PICKLED RED ONION - 2OZ,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,1.00
HOT CHILI OIL (2OZ) - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,0.50
MARINARA (4OZ) - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,1.00
FOLLOW YOUR HEART VEGAN PARMESAN - REGULAR,PAULIE GEE'S HAMPDEN,"CHOWNOW, BALTIMORE, MD",,2.00
