name,restaurant_name,identifier,calories,price_usd
SOUP - SMALL,PEPE'S NY PIZZA,"STUDIO CITY, CA",,3.50
SOUP - LARGE,PEPE'S NY PIZZA,"STUDIO CITY, CA",,5.55
HOMEMADE CHILI VEGETABLE - SMALL,PEPE'S NY PIZZA,"STUDIO CITY, CA",,4.50
HOMEMADE CHILI VEGETABLE - LARGE,PEPE'S NY PIZZA,"STUDIO CITY, CA",,6.75
BAGEL - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,2.00
BAGEL SPECIAL - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,8.50
ENGLISH MUFFIN OR TOAST - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,2.00
FRESH FRUIT CUP - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,3.75
HARD BOILED EGG - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,0.75
MAPLE ALMOND GRANOLA - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,3.95
OATMEAL - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,4.95
PARFAIT - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,7.00
QUICHE: HAM & CHEESE - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,5.50
QUICHE WITH SIDE SALAD - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,7.50
SIDE YOGURT - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,3.50
QUICHE: SPINACH & CHEESE - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,5.50
CAESAR SALAD - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,7.95
CHINESE CHICKEN SALAD - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,8.95
MARGARITA SALAD - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,7.95
NURAN SALAD - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,7.95
PROTEIN SALAD - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,8.95
SPINACH SALAD - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,8.95
STUFFED AVOCADO WITH CAJUN TUNA - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,8.95
TACO SALAD - REGULAR,PEPE'S NY PIZZA,"STUDIO CITY, CA",,7.95
ABBOT'S CLUB - HALF,PEPE'S NY PIZZA,"STUDIO CITY, CA",,6.00
ABBOT'S CLUB - WHOLE,PEPE'S NY PIZZA,"STUDIO CITY, CA",,9.25
B.L.T. - HALF,PEPE'S NY PIZZA,"STUDIO CITY, CA",,5.50
B.L.T. - WHOLE,PEPE'S NY PIZZA,"STUDIO CITY, CA",,8.50
