name,restaurant_name,identifier,calories,price_usd
HOUSE SALAD - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,5.00
CHEF SALAD - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,9.00
PHILLY SANDWICH - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
PIMENTO MELT SANDWICH - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,7.00
BLT - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,7.00
HAM CLUB - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,8.00
TURKEY CLUB - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,8.00
HAMBURGER CLUB - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
GRILLED CHICKEN CLUB - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
FRIED CHICKEN TENDER CLUB - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,8.00
C.Y.O.B (CREATE YOUR OWN BURGER) - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
GEORGIA BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
SOUTH CAROLINA BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
NORTH CAROLINA BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
ALABAMA BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
TENNESSEE BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
VIRGINIA BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
LOUISIANA BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
FLORIDA BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
KENTUCKY BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
MISSISSIPPI BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
COLORADO BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
CALIFORNIA BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
WASHINGTON BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
IDAHO BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
MONTANA BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
NEVADA BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
ILLINOIS BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
NEBRASKA BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
KANSAS BURGER - REGULAR,PHANTOM CANYON BREWING COMPANY,"COLORADO SPRINGS, CO",,10.00
