name,restaurant_name,identifier,calories,price_usd
FRENCH TOAST - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,9.99
BREAKFAST EGG SANDWICH  (COMES WITH BREAKFAST POTATOES) - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,9.59
TWO EGGS ANY STYLE MEAL - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,9.29
HUEVOS RANCHEROS - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,11.95
CALENTADO | COLOMBIAN BREAKFAST - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,11.95
FAIRY FRENCH TOAST (KIDS) - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,6.25
AVOCADO TOAST - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,5.35
PEANUT BUTTER HEMP TOAST - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,5.95
BREAKFAST POTATOES - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,3.49
BACON (3 STRIPS) - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,3.49
SID OF TWO EGGS - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,3.49
FRUIT (SEASONAL) - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,3.49
VEGGIE OMELETTE - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,10.40
MASHED POTATO OMELETTE - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,10.40
"SPINACH, MUSHROOM & CHEESE OMELETTE - REGULAR",PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,10.40
WESTERN OMELETTE - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,10.40
SPICY CHORIZO OMELETTE - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,10.40
CREATE YOUR OWN OMELETTE - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,8.99
QUICHE LORRAINE COMBO - REGULAR,PICA'S TAQUERIA - BOULDER,"BOULDER, CO",,8.45
