name,restaurant_name,identifier,calories,price_usd
AHI TUNA POKE’ NACHOS | RAW - SMALL,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,8.95
AHI TUNA POKE’ NACHOS | RAW - LARGE,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,13.95
COCONUT SHRIMP APPETIZER (6) - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,9.95
CHICKEN WINGS | BONE IN - 8 WINGS,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,8.95
CHICKEN WINGS | BONE IN - 16 WINGS,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,15.95
CHICKEN WINGS | BONELESS - 1/2 LB,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,5.95
CHICKEN WINGS | BONELESS - 1 LB,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,9.95
ONION RINGS - 1/2 ORDER,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,6.95
ONION RINGS - FULL ORDER,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,10.95
HOUSE MADE POTATO CHIPS - SMALL,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,3.95
HOUSE MADE POTATO CHIPS - LARGE,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,6.95
REUBEN EGGROLLS - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,8.95
MAHI & SCALLOP CAKE APPETIZER - 1 CAKE,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,7.95
MAHI & SCALLOP CAKE APPETIZER - 2 CAKES,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,14.95
SMOKED TUNA DIP - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,10.95
BURRATA CAPRESE - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,10.95
NEW ENGLAND CLAM CHOWDER - CUP,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,4.49
NEW ENGLAND CLAM CHOWDER - BOWL,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,7.95
SOUP OF THE DAY - CUP,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,3.95
SOUP OF THE DAY - BOWL,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,7.95
HOUSE SALAD - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,6.95
CAESAR SALAD - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,6.95
GRILLED SHRIMP SALAD - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,12.95
GRILLED CHICKEN SALAD - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,10.95
FISH & CHIPS LUNCH BASKET - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,9.95
FRIED SHRIMP  LUNCH BASKET (6PCS) - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,9.95
REUBEN EGGROLLS LUNCH BASKET - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,9.95
BONELESS WINGS LUNCH BASKET - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,7.95
SEAFOOD COMBO BOWL - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,18.95
SHRIMP SCAMPI PASTA - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,16.95
FRIED SHRIMP DINNER - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,16.95
MAHI & SCALLOP CAKES ENTREE - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,19.95
SHRIMP IN THE WEEDS - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,16.95
SHRIMP & SCALLOPS IN THE WEEDS - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,19.95
SZECHUAN CHICKEN - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,14.95
PORK RIBEYE - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,18.95
CHICKEN & SHRIMP - REGULAR,PIONEER FAMILY RESTAURANT,"CHOWNOW, ARCHDALE, NC",,16.95
