name,restaurant_name,identifier,calories,price_usd
LG BBQ CHICKEN PIZZA,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,16.99
LG BACON CHEESEBURGER PIZZA,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,16.99
LG CHICKEN BACON RANCH,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,16.99
LG BREAKFAST PIZZA,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,16.99
LG HAWAIIAN BBQ CHICKEN,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,16.99
LG HAWAIIAN,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,16.99
LG D AVE DELUXE,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,16.99
LG MEAT PERFECTION,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,16.99
SM BBQ CHICKEN PIZZA,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,10.99
SM BACON CHEESEBURGER PIZZA,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,10.99
SM CHICKEN BACON RANCH,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,10.99
SM BREAKFAST PIZZA,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,10.99
SM HAWAIIAN BBQ CHICKEN,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,10.99
SM HAWAIIAN,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,10.99
SM D AVE DELUXE,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,10.99
SM MEAT PERFECTION,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,10.99
12IN BYO PIZZA,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,6.99
16IN BYO PIZZA,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,10.99
BONE-IN 12PCS,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,16.00
BONE-IN 6PC,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,8.99
BONE-IN 18 PCS,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,22.50
BONE-IN 25 PCS,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,27.99
BONELESS 6 PCS,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,6.99
BONELESS 12 PCS,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,11.99
BONELESS 18 PCS,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,14.99
BONELESS 25 PCS,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,17.99
BYO PASTA BOWL,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,7.99
CALZONE,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,8.99
CHICKEN BACON BOMB,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,6.99
PEPPERONI BOMB,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,6.99
CHEESY BREAD STICKS,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,4.99
BREAD STICKS,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,3.29
EXTRA SAUCE,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,0.70
GARDEN SALAD,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,5.49
CAESAR SALAD,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,5.49
2L DIET COKE,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,2.29
2L DIET MOUNTAIN DEW,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,2.29
2L MOUNTAIN DEW,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,2.29
2L COKE,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,2.29
2L DIET PEPSI,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,2.29
2L CHERRY PEPSI,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,2.29
2L PEPSI,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,2.29
OPEN FOOD,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,0.00
OPEN DRINK,PIZZA PERFECT SPRINKLE RD KALAMAZOO,"KALAMAZOO, MI",,0.00
