name,restaurant_name,identifier,calories,price_usd
BUTTER LETTUCE - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,14.00
KALE SALAD. - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,17.00
BEET TARTARE - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,19.00
MELON - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,15.00
TOMATO + BERRIES - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,17.00
BLISTERED SHISHITO - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,10.00
GNOCCHI. - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,27.00
TRUMPET MUSHROOM - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,28.00
AVOCADO TIKKA - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,19.00
CACIO E PEPE - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,16.00
PLANT BOWL - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,21.00
SEOUL BOWL - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,20.00
BISARRA - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,14.00
CHEESE PLATE - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,20.00
FETTUCINE - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,30.00
HEIRLOOM TOMATO + ZUCCHINI LASAGNE - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,23.00
KIMCHI DUMPLINGS - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,16.00
MAITAKE - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,27.00
MINT CHOCOLATE - REGULAR,PLANT FOOD & WINE,"VENICE, CA",,11.00
