name,restaurant_name,identifier,calories,price_usd
BEAN DIP - REGULAR,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,3.99
GUACAMOLE DIP - REGULAR,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,3.99
CHEESE NACHOS - REGULAR,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,6.29
BEEF & CHICKEN NACHOS - REGULAR,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,6.99
QUESO CHEESE DIP - SMALL,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,3.59
QUESO CHEESE DIP - MEDIUM,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,5.99
QUESO CHEESE DIP - LARGE,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,8.99
BOTANA PLATE - REGULAR,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,9.99
GRILLED CHICKEN SALAD - REGULAR,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,7.99
GRILLED SHRIMP SALAD - REGULAR,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,8.99
QUESO FUNDIDO - REGULAR,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,6.99
NACHO FAJITAS - REGULAR,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,12.49
NACHOS GARIBALDI - REGULAR,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,10.49
QUESADILLA DELUXE - REGULAR,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,8.29
QUESADILLA ROJA/VERDE - REGULAR,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,12.99
VEGETARIAN QUESADILLA - REGULAR,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,11.99
QUESADILLA FAJITA - REGULAR,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,12.49
CALDO DE PESCADO - REGULAR,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,14.49
CALDO DE CAMARON - REGULAR,PLAZA GARIBALDI,"CHOWNOW, NEW ULM, MN",,14.49
