name,restaurant_name,identifier,calories,price_usd
BEEF EGG FOO YOUNG - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.75
BEEF LO MEIN - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.75
BEEF WITH BLACK BEAN SAUCE - REGULAR,PO BOY JIM,"NORTHEAST, DC",,7.00
BEEF WITH BROCCOLI - REGULAR,PO BOY JIM,"NORTHEAST, DC",,7.00
BEEF WITH MIXED VEGETABLES - REGULAR,PO BOY JIM,"NORTHEAST, DC",,7.00
BEEF WITH SNOW PEAS - REGULAR,PO BOY JIM,"NORTHEAST, DC",,7.00
BONELESS SPARE RIBS - REGULAR,PO BOY JIM,"NORTHEAST, DC",,8.00
BOURBON CHICKEN - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.75
CHICKEN CHOW MEIN - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.50
CHICKEN EGG FOO YOUNG - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.50
CHICKEN LO MEIN - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.50
CHICKEN WITH BLACK BEAN SAUCE - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.75
CHICKEN WITH BROCCOLI - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.75
CHICKEN WITH CASHEW NUTS - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.75
CHICKEN WITH GARLIC SAUCE - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.75
CHICKEN WITH MIXED VEGETABLES - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.75
CHICKEN WITH SNOW PEAS - REGULAR,PO BOY JIM,"NORTHEAST, DC",,7.00
CURRY CHICKEN - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.75
GENERAL TSO'S CHICKEN - REGULAR,PO BOY JIM,"NORTHEAST, DC",,7.00
HUNAN CHICKEN - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.75
KUNG PAO CHICKEN - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.75
KUNG PAO SHRIMP - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.75
MOO GOO GAI PAN - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.75
ORANGE CHICKEN - REGULAR,PO BOY JIM,"NORTHEAST, DC",,7.00
PEPPER STEAK - REGULAR,PO BOY JIM,"NORTHEAST, DC",,7.00
PINEAPPLE CHICKEN - REGULAR,PO BOY JIM,"NORTHEAST, DC",,7.00
ROAST PORK EGG FOO YOUNG - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.50
ROAST PORK LO MEIN - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.50
ROAST PORK WITH CHINESE VEG. - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.75
SESAME CHICKEN - REGULAR,PO BOY JIM,"NORTHEAST, DC",,7.00
SHRIMP CHOW MEIN - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.50
SHRIMP EGG FOO YOUNG - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.75
SHRIMP LO MEIN - REGULAR,PO BOY JIM,"NORTHEAST, DC",,6.75
SHRIMP WITH BROCCOLI - REGULAR,PO BOY JIM,"NORTHEAST, DC",,7.00
