name,restaurant_name,identifier,calories,price_usd
JOHNNY UTAH - REGULAR,POKE BROS,"NEWARK, DE",,12.00
DA KINE - REGULAR,POKE BROS,"NEWARK, DE",,13.00
HULA - REGULAR,POKE BROS,"NEWARK, DE",,11.00
THE DUKE - REGULAR,POKE BROS,"NEWARK, DE",,13.50
THE SHAKA - REGULAR,POKE BROS,"NEWARK, DE",,10.00
HIGH TIDE - REGULAR,POKE BROS,"NEWARK, DE",,11.50
CHICKEN | BUILD YOUR OWN POKE BOWL - REGULAR,POKE BROS,"NEWARK, DE",,9.00
VEGETARIAN | BUILD YOUR OWN POKE BOWL - REGULAR,POKE BROS,"NEWARK, DE",,8.50
SALMON | BUILD YOUR OWN POKE BOWL - REGULAR,POKE BROS,"NEWARK, DE",,11.50
TUNA | BUILD YOUR OWN POKE BOWL - REGULAR,POKE BROS,"NEWARK, DE",,11.50
SHRIMP | BUILD YOUR OWN POKE BOWL - REGULAR,POKE BROS,"NEWARK, DE",,10.00
SQUID SALAD | BUILD YOUR OWN POKE BOWL - REGULAR,POKE BROS,"NEWARK, DE",,11.50
HALF & HALF | BUILD YOUR OWN POKE BOWL - REGULAR,POKE BROS,"NEWARK, DE",,12.00
SPICY KANI SALAD - REGULAR,POKE BROS,"NEWARK, DE",,4.00
SEAWEED SALAD - REGULAR,POKE BROS,"NEWARK, DE",,4.00
MOCHI ICE CREAM - 2 PIECES - 2 PIECES,POKE BROS,"NEWARK, DE",,3.50
MOCHI ICE CREAM - 3 PIECES - 3 PIECES,POKE BROS,"NEWARK, DE",,5.00
BOTTLED WATER - REGULAR,POKE BROS,"NEWARK, DE",,1.00
SODA - REGULAR,POKE BROS,"NEWARK, DE",,2.25
RAMUME DRINK - REGULAR,POKE BROS,"NEWARK, DE",,2.50
PINK LEMONADE - REGULAR,POKE BROS,"NEWARK, DE",,2.25
