name,restaurant_name,identifier,calories,price_usd
LEMON CHICKEN - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,4.95
LENTIL - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,4.95
BUILD YOUR OWN | CHICKEN - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,7.99
BUILD YOUR OWN | STEAK - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,10.45
BUILD YOUR OWN | OCTOPUS - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,14.95
BUILD YOUR OWN | SALMON - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,12.45
BUILD YOUR OWN | YEERO - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,9.45
BUILD YOUR OWN | SHRIMP - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,11.95
BUILD YOUR OWN | LAMB - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,11.95
BUILD YOUR OWN | VEGGIE - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,8.25
BUILD YOUR OWN | FALAFEL - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,8.25
THE GREEK GOODNESS - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,7.99
WILD SHRIMP SALAD - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,11.45
ORGANIC SALMON BOWL - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,11.95
THE MEDITERRANEAN BOWL - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,8.25
EONS CHICKEN WRAP - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,7.99
THE YEERO WRAP - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,7.95
EONS SEAFOOD WRAP - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,10.45
THE VEGGIE WRAP - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,7.25
CHIPS & DIP - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,3.69
GREEK YOGURT - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,3.74
KIDS MEAL - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,5.08
FOUNTAIN - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,2.07
BOTTLED WATER - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,2.07
BOTTLED SODA - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,2.99
KIDS DRINKS - REGULAR,PRESCRIPTION CHICKEN,"WASHINGTON, DC",,1.84
