name,restaurant_name,identifier,calories,price_usd
1-DAY CLEAN 'TIL FIVE - 1-DAY,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,50.00
1-DAY PLANT PACKED CLEANSE (*PRODUCT AVAILABILITY SUBJECT TO CHANGE. PRODUCTS DIFFER SLIGHTLY FOR EA - 1-DAY,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,70.00
1-DAY REROOT CLEANSE - 1-DAY,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,70.00
1-DAY TRANSITION CLEANSE - 1-DAY,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,70.00
2-DAY CLEAN 'TIL FIVE - 2-DAY,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,100.00
2-DAY PLANT PACKED CLEANSE - 2-DAY,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,135.00
2-DAY REROOT CLEANSE - 2-DAY,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,135.00
2-DAY TRANSITION CLEANSE - 2-DAY,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,135.00
3-DAY CLEAN 'TIL FIVE - 3-DAY,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,150.00
3-DAY PLANT PACKED CLEANSE - 3-DAY,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,195.00
3-DAY REROOT CLEANSE - 3-DAY,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,195.00
3-DAY TRANSITION CLEANSE - 3-DAY,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,195.00
5-DAY CLEAN 'TIL FIVE - 5-DAY,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,250.00
5-DAY PLANT PACKED CLEANSE - 5-DAY,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,325.00
5-DAY REROOT CLEANSE - 5-DAY,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,325.00
5-DAY TRANSITION CLEANSE - 5-DAY,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,325.00
AVOCADO & CHICKPEA HUMMUS TOAST - REGULAR,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,12.95
AVOCADO & MUSHROOM TOAST - REGULAR,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,13.95
AVOCADO TOAST & CASHEW CHEESE - REGULAR,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,12.95
SWEET POTATO TOAST - REGULAR,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,12.95
WAFFLES & FRUITS 2 SLICES (GF) - LARGE,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,13.50
CHOCOLATE SUPERSEED CEREAL - REGULAR,PRONTO NY STYLE PIZZA,"DANIA BEACH, FL",,12.95
