name,restaurant_name,identifier,calories,price_usd
PEANUT POWER - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,9.75
PEANUT POWER - 24OZ (BETTER VALUE),PROTINI BAR,"WOODLAND HILLS, CA",,11.25
VANILLA SKY - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,9.95
VANILLA SKY - 24OZ (BETTER VALUE),PROTINI BAR,"WOODLAND HILLS, CA",,11.45
CHOCOLATE WALNUT - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,9.95
CHOCOLATE WALNUT - 24OZ (BETTER VALUE),PROTINI BAR,"WOODLAND HILLS, CA",,11.45
BLUEBERRY MADNESS - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,9.75
BLUEBERRY MADNESS - 24OZ (BETTER VALUE),PROTINI BAR,"WOODLAND HILLS, CA",,11.25
SKINNY DRAGON - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,9.50
SKINNY DRAGON - 24OZ,PROTINI BAR,"WOODLAND HILLS, CA",,11.00
NUTTY PROFESSOR - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,9.95
NUTTY PROFESSOR - 24OZ,PROTINI BAR,"WOODLAND HILLS, CA",,11.45
PROTECCINO  NEW! - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,11.50
PROTECCINO  NEW! - 24OZ,PROTINI BAR,"WOODLAND HILLS, CA",,12.95
WAKE UP CALL - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,9.75
WAKE UP CALL - 24OZ (BETTER VALUE),PROTINI BAR,"WOODLAND HILLS, CA",,11.25
AÇAÍ WARRIOR - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,9.95
AÇAÍ WARRIOR - 24OZ (BETTER VALUE),PROTINI BAR,"WOODLAND HILLS, CA",,11.45
AH-SAH-EE - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,9.95
AH-SAH-EE - 24OZ (BETTER VALUE),PROTINI BAR,"WOODLAND HILLS, CA",,11.45
CREATE YOUR OWN PROTEIN SHAKE - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,7.95
CREATE YOUR OWN PROTEIN SHAKE - 24OZ,PROTINI BAR,"WOODLAND HILLS, CA",,9.50
AÇAÍ DRAGON - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,9.45
AÇAÍ DRAGON - 24OZ,PROTINI BAR,"WOODLAND HILLS, CA",,10.75
THE VILLAGE - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,8.75
THE VILLAGE - 24OZ,PROTINI BAR,"WOODLAND HILLS, CA",,9.95
GAME OF DRAGONS - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,8.95
GAME OF DRAGONS - 24OZ,PROTINI BAR,"WOODLAND HILLS, CA",,10.25
KALICIOUS - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,8.25
KALICIOUS - 24OZ,PROTINI BAR,"WOODLAND HILLS, CA",,9.55
SUNSET BEETS - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,8.95
SUNSET BEETS - 24OZ,PROTINI BAR,"WOODLAND HILLS, CA",,10.25
CREATE YOU OWN SMOOTHIE - 20OZ,PROTINI BAR,"WOODLAND HILLS, CA",,6.95
CREATE YOU OWN SMOOTHIE - 24OZ,PROTINI BAR,"WOODLAND HILLS, CA",,8.95
CALIFORNIA AÇAÍ BOWL - 16OZ.,PROTINI BAR,"WOODLAND HILLS, CA",,8.95
CALIFORNIA AÇAÍ BOWL - 24OZ.,PROTINI BAR,"WOODLAND HILLS, CA",,10.50
CREATE YOUR OWN BOWL - 16OZ.,PROTINI BAR,"WOODLAND HILLS, CA",,8.95
CREATE YOUR OWN BOWL - 24OZ.,PROTINI BAR,"WOODLAND HILLS, CA",,10.50
DRAGON FRUIT BOWL - 16OZ.,PROTINI BAR,"WOODLAND HILLS, CA",,9.95
DRAGON FRUIT BOWL - 24OZ.,PROTINI BAR,"WOODLAND HILLS, CA",,11.95
NUTZ FOR AÇAÍ - 16 OZ,PROTINI BAR,"WOODLAND HILLS, CA",,9.95
NUTZ FOR AÇAÍ - 24 OZ,PROTINI BAR,"WOODLAND HILLS, CA",,11.95
CREATE YOU OWN DETOX WATER - 1 LITTER,PROTINI BAR,"WOODLAND HILLS, CA",,6.95
THE KIDS BOWL - 8OZ,PROTINI BAR,"WOODLAND HILLS, CA",,6.50
THE KIDS BOWL - 16OZ,PROTINI BAR,"WOODLAND HILLS, CA",,8.50
CHUNKY MONKEY SMOOTHIE - 12OZ CUP,PROTINI BAR,"WOODLAND HILLS, CA",,6.50
CHUNKY MONKEY SMOOTHIE - 16OZ CUP,PROTINI BAR,"WOODLAND HILLS, CA",,7.50
PEANUTS SMOOTHIE - 12OZ CUP,PROTINI BAR,"WOODLAND HILLS, CA",,6.50
PEANUTS SMOOTHIE - 16 OZ CUP,PROTINI BAR,"WOODLAND HILLS, CA",,7.50
CREATE YOUR OWN FRUIT BOWL - 16OZ,PROTINI BAR,"WOODLAND HILLS, CA",,5.50
CREATE YOUR OWN FRUIT BOWL - 24OZ,PROTINI BAR,"WOODLAND HILLS, CA",,6.50
ALKALINE WATER 500ML - 500ML,PROTINI BAR,"WOODLAND HILLS, CA",,3.00
ALKALINE WATER 1LT - 1LT,PROTINI BAR,"WOODLAND HILLS, CA",,4.50
